index,close_time,transaction_id,positions,ADAUSDT_units,LUNCUSDT_units,entry_ADAUSDT_price,entry_LUNCUSDT_price,historical_ADAUSDT_mid,historical_LUNCUSDT_mid,historical_ADAUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,ADAUSDT_raw_pnl,LUNCUSDT_raw_pnl,ADAUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,0.3447,0.000173655,421175.1,116962082.94,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,0.34475,0.00017366,83128.1,44924088.45,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,0.34435,0.0001735199999999,191077.5,61625039.91,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,0.34445,0.0001737,141441.4,28068832.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 16:52:59.999,,,0.0,0.0,,,0.34475,0.0001738,186319.3,54875479.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 16:53:59.999,,,0.0,0.0,,,0.3448,0.00017388,173262.2,21475748.59,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 16:54:59.999,,,0.0,0.0,,,0.34475,0.00017391,171626.1,197158354.89,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 16:55:59.999,,,0.0,0.0,,,0.3446,0.000173715,90630.1,40540682.03,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 16:56:59.999,,,0.0,0.0,,,0.3442499999999999,0.000173485,49120.1,21526850.86,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 16:57:59.999,,,0.0,0.0,,,0.34455,0.000173445,301417.0,54788710.74,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,0.3442,0.00017328,126949.8,32319343.11,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,0.34395,0.00017311,78321.1,128790410.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,0.3446,0.0001733999999999,80052.4,53422891.49,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,0.3448,0.00017355,25083.6,47123653.17,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,0.3446,0.000173415,90309.2,64994347.93,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,0.3447,0.00017371,75955.7,86452027.83,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,0.3450499999999999,0.0001738749999999,58026.1,116256192.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,0.3450499999999999,0.00017375,419502.5,34223981.89,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,0.34535,0.000173835,138453.2,64227995.52,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,0.3450999999999999,0.0001739,67907.0,226927765.86,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,0.34495,0.000173825,145400.0,97730819.05,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21.0,2023-01-20 17:09:59.999,,,0.0,0.0,,,0.3451499999999999,0.000173935,96588.8,85950144.63,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22.0,2023-01-20 17:10:59.999,,,0.0,0.0,,,0.3451999999999999,0.00017396,65792.7,15676114.44,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
23.0,2023-01-20 17:11:59.999,,,0.0,0.0,,,0.34545,0.00017421,53268.9,95449589.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
24.0,2023-01-20 17:12:59.999,,,0.0,0.0,,,0.3457,0.000174495,82125.8,44863496.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
25.0,2023-01-20 17:13:59.999,,,0.0,0.0,,,0.3453,0.0001744499999999,85691.2,56933253.43,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
26.0,2023-01-20 17:14:59.999,,,0.0,0.0,,,0.3449,0.000174165,35691.3,55930445.81,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27.0,2023-01-20 17:15:59.999,,,0.0,0.0,,,0.345,0.000174175,26908.3,46585350.54,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
28.0,2023-01-20 17:16:59.999,,,0.0,0.0,,,0.3455,0.00017419,113807.9,169136877.86,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
29.0,2023-01-20 17:17:59.999,,,0.0,0.0,,,0.34555,0.00017418,23406.1,61751065.21,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
30.0,2023-01-20 17:18:59.999,,,0.0,0.0,,,0.3456,0.000174325,124407.2,57120468.62,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
31.0,2023-01-20 17:19:59.999,,,0.0,0.0,,,0.34555,0.000174255,71473.0,57158459.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
32.0,2023-01-20 17:20:59.999,,,0.0,0.0,,,0.34565,0.00017432,68750.4,63123477.55,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
33.0,2023-01-20 17:21:59.999,,,0.0,0.0,,,0.3457,0.000174315,22326.5,28058197.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
34.0,2023-01-20 17:22:59.999,,,0.0,0.0,,,0.34555,0.000174255,12081.7,39136166.67,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
35.0,2023-01-20 17:23:59.999,,,0.0,0.0,,,0.34525,0.000174285,49163.3,63837374.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
36.0,2023-01-20 17:24:59.999,,,0.0,0.0,,,0.34495,0.00017421,27179.8,50728820.55,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
37.0,2023-01-20 17:25:59.999,,,0.0,0.0,,,0.34465,0.000174215,66045.0,54503041.47,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
38.0,2023-01-20 17:26:59.999,,,0.0,0.0,,,0.34445,0.000174205,42810.3,42812331.92,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
39.0,2023-01-20 17:27:59.999,,,0.0,0.0,,,0.3448,0.00017432,86906.0,36619526.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
40.0,2023-01-20 17:28:59.999,,,0.0,0.0,,,0.3450499999999999,0.00017443,53984.2,79659550.98,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
41.0,2023-01-20 17:29:59.999,,,0.0,0.0,,,0.3447,0.0001740949999999,43934.2,146456973.93,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
42.0,2023-01-20 17:30:59.999,,,0.0,0.0,,,0.34475,0.000174,77841.5,86791257.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
43.0,2023-01-20 17:31:59.999,,,0.0,0.0,,,0.34555,0.0001740849999999,374860.3,57322794.19,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
44.0,2023-01-20 17:32:59.999,,,0.0,0.0,,,0.3459,0.000174025,23425.1,177896783.77,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
45.0,2023-01-20 17:33:59.999,,,0.0,0.0,,,0.34595,0.0001740949999999,36777.3,3742029.65,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
46.0,2023-01-20 17:34:59.999,,,0.0,0.0,,,0.3459,0.000174005,19440.7,86687742.96,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
47.0,2023-01-20 17:35:59.999,,,0.0,0.0,,,0.34585,0.000174005,7492.1,38128848.76,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
48.0,2023-01-20 17:36:59.999,,,0.0,0.0,,,0.34545,0.00017387,326029.3,37295764.54,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
49.0,2023-01-20 17:37:59.999,,,0.0,0.0,,,0.3445,0.00017359,169933.4,84544753.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
50.0,2023-01-20 17:38:59.999,,,0.0,0.0,,,0.3438,0.00017343,271566.9,57457571.12,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
