index,close_time,transaction_id,positions,BTCUSDT_units,LUNCUSDT_units,entry_BTCUSDT_price,entry_LUNCUSDT_price,historical_BTCUSDT_mid,historical_LUNCUSDT_mid,historical_BTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,BTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,BTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:23:59.999,,,0.0,0.0,,,21201.575,0.00017223,237.10913,19486515.57,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:24:59.999,,,0.0,0.0,,,21202.73,0.000172225,309.66027,27867133.78,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 16:25:59.999,,,0.0,0.0,,,21188.55,0.0001721,126.94832,19290605.93,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 16:26:59.999,,,0.0,0.0,,,21187.245000000003,0.000171975,154.09988,91654051.61,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 16:27:59.999,,,0.0,0.0,,,21201.48,0.00017197,167.29422,96999257.91,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 16:28:59.999,,,0.0,0.0,,,21212.595,0.000172125,254.58262,157899958.49,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 16:29:59.999,,,0.0,0.0,,,21218.785,0.00017218,253.18559,145561482.28,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 16:30:59.999,,,0.0,0.0,,,21226.575,0.000172365,301.40674,48588354.78,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 16:31:59.999,,,0.0,0.0,,,21257.795,0.0001725699999999,1113.11149,59186695.57,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 16:32:59.999,,,0.0,0.0,,,21254.68,0.000172465,684.01077,87970314.85,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 16:33:59.999,,,0.0,0.0,,,21250.56,0.0001725249999999,357.97845,20378859.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 16:34:59.999,,,0.0,0.0,,,21236.78,0.00017235,324.98144,10880704.43,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 16:35:59.999,,,0.0,0.0,,,21269.21,0.000172675,938.58485,40359922.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 16:36:59.999,,,0.0,0.0,,,21285.475,0.0001728249999999,756.02374,37245837.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 16:37:59.999,,,0.0,0.0,,,21280.54,0.000173025,550.37428,82191225.54,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 16:38:59.999,,,0.0,0.0,,,21278.87,0.00017301,419.08157,14517627.44,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 16:39:59.999,,,0.0,0.0,,,21275.25,0.0001728799999999,366.49974,32455996.74,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 16:40:59.999,,,0.0,0.0,,,21283.16,0.00017286,375.82511,27627157.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 16:41:59.999,,,0.0,0.0,,,21277.67,0.0001727,298.06735,69620710.98,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 16:42:59.999,,,0.0,0.0,,,21293.4,0.000172855,430.87406,15042599.63,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20.0,2023-01-20 16:43:59.999,,,0.0,0.0,,,21298.545,0.00017303,389.29289,63087458.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21.0,2023-01-20 16:44:59.999,,,0.0,0.0,,,21308.545,0.0001729449999999,913.73316,45342526.92,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22.0,2023-01-20 16:45:59.999,,,0.0,0.0,,,21314.08,0.00017302,588.73962,156653929.26,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
23.0,2023-01-20 16:46:59.999,,,0.0,0.0,,,21295.0,0.000172815,571.27848,53185136.29,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
24.0,2023-01-20 16:47:59.999,,,0.0,0.0,,,21329.87,0.00017322,639.25033,645571074.18,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
25.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,21351.635,0.000173655,555.27067,116962082.94,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
26.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,21350.14,0.00017366,363.20925,44924088.45,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,21345.925,0.0001735199999999,222.17582,61625039.91,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
28.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,21357.725,0.0001737,520.88136,28068832.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
29.0,2023-01-20 16:52:59.999,,,0.0,0.0,,,21376.33,0.0001738,394.97068,54875479.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
30.0,2023-01-20 16:53:59.999,,,0.0,0.0,,,21394.5,0.00017388,562.0735,21475748.59,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
31.0,2023-01-20 16:54:59.999,,,0.0,0.0,,,21390.505,0.00017391,283.28358,197158354.89,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
32.0,2023-01-20 16:55:59.999,,,0.0,0.0,,,21372.755,0.000173715,285.23865,40540682.03,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
33.0,2023-01-20 16:56:59.999,,,0.0,0.0,,,21351.585,0.000173485,373.85495,21526850.86,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
34.0,2023-01-20 16:57:59.999,,,0.0,0.0,,,21343.145,0.000173445,289.39496,54788710.74,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
35.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,21317.98,0.00017328,551.08477,32319343.11,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
36.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,21300.61,0.00017311,233.38833,128790410.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
37.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,21332.83,0.0001733999999999,396.00059,53422891.49,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
38.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,21347.17,0.00017355,211.80809,47123653.17,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
39.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,21344.185,0.000173415,171.10065,64994347.93,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
40.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,21355.565,0.00017371,120.5165,86452027.83,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
