index,close_time,transaction_id,positions,DOGEUSDT_units,LINKUSDT_units,entry_DOGEUSDT_price,entry_LINKUSDT_price,historical_DOGEUSDT_mid,historical_LINKUSDT_mid,historical_DOGEUSDT_vol,historical_LINKUSDT_vol,signal,portfolio_value,DOGEUSDT_raw_pnl,LINKUSDT_raw_pnl,DOGEUSDT_cost,LINKUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,0.082245,6.599,387290.0,12099.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,0.0822499999999999,6.5975,577984.0,4348.67,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,0.082295,6.605,382859.0,11803.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,0.08237,6.61,783738.0,2814.92,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,0.08237,6.608499999999999,662002.0,4280.14,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,0.08236,6.614,2315602.0,721.31,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,0.08229,6.614,923663.0,2622.76,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,0.082255,6.613,431517.0,1625.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 17:09:59.999,,,0.0,0.0,,,0.082325,6.616,264267.0,3436.42,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 17:10:59.999,,,0.0,0.0,,,0.082285,6.6135,314901.0,2339.12,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 17:11:59.999,,,0.0,0.0,,,0.08233,6.618,411941.0,5875.74,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 17:12:59.999,,,0.0,0.0,,,0.082405,6.622,667790.0,3881.47,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 17:13:59.999,,,0.0,0.0,,,0.08236,6.617,475868.0,4454.59,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 17:14:59.999,,,0.0,0.0,,,0.08227,6.6105,272631.0,2128.76,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 17:15:59.999,,,0.0,0.0,,,0.08227,6.6105,1136299.0,1785.72,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 17:16:59.999,,,0.0,0.0,,,0.082345,6.619,325373.0,3404.42,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 17:17:59.999,,,0.0,0.0,,,0.08238,6.6265,329135.0,10046.87,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 17:18:59.999,,,0.0,0.0,,,0.0823599999999999,6.628,489878.0,1106.61,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 17:19:59.999,,,0.0,0.0,,,0.08234,6.625500000000001,273908.0,7301.26,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 17:20:59.999,,,0.0,0.0,,,0.082355,6.6315,392579.0,1317.45,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20.0,2023-01-20 17:21:59.999,,,0.0,0.0,,,0.082375,6.629,58781.0,7809.61,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21.0,2023-01-20 17:22:59.999,,,0.0,0.0,,,0.08238,6.626,582552.0,4028.57,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22.0,2023-01-20 17:23:59.999,,,0.0,0.0,,,0.08236,6.625,155926.0,1839.64,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
23.0,2023-01-20 17:24:59.999,,,0.0,0.0,,,0.0823349999999999,6.6205,450925.0,3473.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
24.0,2023-01-20 17:25:59.999,,,0.0,0.0,,,0.082285,6.6115,984656.0,2501.13,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
25.0,2023-01-20 17:26:59.999,,,0.0,0.0,,,0.082205,6.6065000000000005,467833.0,11018.91,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
26.0,2023-01-20 17:27:59.999,,,0.0,0.0,,,0.08221,6.606,292070.0,3545.24,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27.0,2023-01-20 17:28:59.999,,,0.0,0.0,,,0.082235,6.611000000000001,194665.0,732.74,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
28.0,2023-01-20 17:29:59.999,,,0.0,0.0,,,0.082155,6.603,1003036.0,6459.83,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
29.0,2023-01-20 17:30:59.999,,,0.0,0.0,,,0.082145,6.602,518285.0,7422.12,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
