index,close_time,transaction_id,positions,ETHUSDT_units,MATICUSDT_units,entry_ETHUSDT_price,entry_MATICUSDT_price,historical_ETHUSDT_mid,historical_MATICUSDT_mid,historical_ETHUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,MATICUSDT_raw_pnl,ETHUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:43:59.999,,,0.0,0.0,,,1585.085,0.9735,1021.493,40946.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:44:59.999,,,0.0,0.0,,,1585.005,0.9739,1512.4681,172179.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 16:45:59.999,,,0.0,0.0,,,1584.84,0.9738,845.033,65723.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 16:46:59.999,,,0.0,0.0,,,1583.3049999999998,0.97355,768.089,712382.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 16:47:59.999,,,0.0,0.0,,,1585.985,0.9762,631.1147,186231.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,1586.9,0.97765,916.3916,316009.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,1588.245,0.97835,577.2642,123368.8,3.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,1586.17,0.97655,344.1892,95373.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,1587.375,0.9773,572.308,63350.2,4.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 16:52:59.999,,,0.0,0.0,,,1590.25,0.9783,1540.5741,117187.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 16:53:59.999,,,0.0,0.0,,,1590.9450000000002,0.97895,809.9337,185886.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 16:54:59.999,,,0.0,0.0,,,1591.63,0.9792,786.4548,140589.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 16:55:59.999,,,0.0,0.0,,,1589.245,0.9776,760.9385,78407.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 16:56:59.999,,,0.0,0.0,,,1587.56,0.9764,373.3549,140182.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 16:57:59.999,,,0.0,0.0,,,1587.5700000000002,0.97715,457.4738,128090.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,1585.39,0.97575,809.2374,161667.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,1584.215,0.97445,335.4183,67740.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,1586.6,0.9763,666.0841,99028.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,1587.475,0.9771,291.4886,20251.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,1587.4450000000002,0.97685,288.1506,33532.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,1587.935,0.9774,187.5174,40894.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,1588.64,0.9781,370.108,22545.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,1588.925,0.9782,442.3178,92579.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
23.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,1590.365,0.97885,535.1032,80293.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
24.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,1589.115,0.97855,401.8698,35265.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
25.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,1588.8000000000002,0.97785,342.3714,63255.1,3.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
26.0,2023-01-20 17:09:59.999,,,0.0,0.0,,,1589.24,0.9788,235.7068,82775.6,4.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27.0,2023-01-20 17:10:59.999,,,0.0,0.0,,,1588.5700000000002,0.979,430.4516,100052.9,3.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
28.0,2023-01-20 17:11:59.999,,,0.0,0.0,,,1589.27,0.9797,265.0098,43980.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
29.0,2023-01-20 17:12:59.999,,,0.0,0.0,,,1590.36,0.97985,213.6598,76649.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
