index,close_time,transaction_id,positions,ETHUSDT_units,SHIBUSDT_units,entry_ETHUSDT_price,entry_SHIBUSDT_price,historical_ETHUSDT_mid,historical_SHIBUSDT_mid,historical_ETHUSDT_vol,historical_SHIBUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,SHIBUSDT_raw_pnl,ETHUSDT_cost,SHIBUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:43:59.999,,,0.0,0.0,,,1585.085,1.1635e-05,1021.493,10440648604.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:44:59.999,,,0.0,0.0,,,1585.005,1.1635e-05,1512.4681,5826756753.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 16:45:59.999,,,0.0,0.0,,,1584.84,1.163e-05,845.033,8688076052.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 16:46:59.999,,,0.0,0.0,,,1583.3049999999998,1.1605000000000002e-05,768.089,7845801977.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 16:47:59.999,,,0.0,0.0,,,1585.985,1.1615e-05,631.1147,10856714629.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,1586.9,1.163e-05,916.3916,6281232165.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,1588.245,1.163e-05,577.2642,3571537017.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,1586.17,1.1605000000000002e-05,344.1892,3748681322.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,1587.375,1.161e-05,572.308,7455513158.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 16:52:59.999,,,0.0,0.0,,,1590.25,1.162e-05,1540.5741,6560911151.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 16:53:59.999,,,0.0,0.0,,,1590.9450000000002,1.163e-05,809.9337,6412698026.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 16:54:59.999,,,0.0,0.0,,,1591.63,1.1625e-05,786.4548,9836964275.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 16:55:59.999,,,0.0,0.0,,,1589.245,1.16e-05,760.9385,8589386996.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 16:56:59.999,,,0.0,0.0,,,1587.56,1.159e-05,373.3549,7868836471.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 16:57:59.999,,,0.0,0.0,,,1587.5700000000002,1.1605000000000002e-05,457.4738,3109290249.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,1585.39,1.1585e-05,809.2374,9500919337.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,1584.215,1.156e-05,335.4183,7459636025.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,1586.6,1.158e-05,666.0841,8876580384.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,1587.475,1.16e-05,291.4886,8012873443.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,1587.4450000000002,1.161e-05,288.1506,7152536431.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,1587.935,1.162e-05,187.5174,5648457424.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,1588.64,1.1625e-05,370.108,7528017475.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,1588.925,1.162e-05,442.3178,6348865749.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
23.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,1590.365,1.1615e-05,535.1032,14256886441.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
24.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,1589.115,1.16e-05,401.8698,4899276636.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
25.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,1588.8000000000002,1.161e-05,342.3714,4521369971.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
26.0,2023-01-20 17:09:59.999,,,0.0,0.0,,,1589.24,1.1615e-05,235.7068,5492846111.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27.0,2023-01-20 17:10:59.999,,,0.0,0.0,,,1588.5700000000002,1.16e-05,430.4516,16649801174.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
