index,close_time,transaction_id,positions,ETHUSDT_units,XRPUSDT_units,entry_ETHUSDT_price,entry_XRPUSDT_price,historical_ETHUSDT_mid,historical_XRPUSDT_mid,historical_ETHUSDT_vol,historical_XRPUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,XRPUSDT_raw_pnl,ETHUSDT_cost,XRPUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:43:59.999,,,0.0,0.0,,,1585.085,0.3954,1021.493,213276.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:44:59.999,,,0.0,0.0,,,1585.005,0.3955999999999999,1512.4681,720253.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 16:45:59.999,,,0.0,0.0,,,1584.84,0.39535,845.033,307539.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 16:46:59.999,,,0.0,0.0,,,1583.3049999999998,0.39535,768.089,184266.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 16:47:59.999,,,0.0,0.0,,,1585.985,0.3958,631.1147,220119.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,1586.9,0.3959,916.3916,698799.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,1588.245,0.39625,577.2642,461435.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,1586.17,0.396,344.1892,551834.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,1587.375,0.3965499999999999,572.308,684573.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 16:52:59.999,,,0.0,0.0,,,1590.25,0.39725,1540.5741,763262.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
