index,close_time,transaction_id,positions,LINKUSDT_units,ATOMUSDT_units,entry_LINKUSDT_price,entry_ATOMUSDT_price,historical_LINKUSDT_mid,historical_ATOMUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,ATOMUSDT_raw_pnl,LINKUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:38:59.999,,,0.0,0.0,,,6.579000000000001,12.381,791.08,1353.07,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:39:59.999,,,0.0,0.0,,,6.580500000000001,12.3805,4653.86,818.87,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 16:40:59.999,,,0.0,0.0,,,6.5885,12.404,3628.73,5902.81,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 16:41:59.999,,,0.0,0.0,,,6.584,12.377,2350.8,727.23,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 16:42:59.999,,,0.0,0.0,,,6.580500000000001,12.3905,21112.71,516.25,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 16:43:59.999,,,0.0,0.0,,,6.5905000000000005,12.4095,2906.66,1303.96,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 16:44:59.999,,,0.0,0.0,,,6.5905000000000005,12.411,4814.22,700.07,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 16:45:59.999,,,0.0,0.0,,,6.5885,12.403,10017.9,1742.89,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 16:46:59.999,,,0.0,0.0,,,6.581,12.385,2970.07,2000.95,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 16:47:59.999,,,0.0,0.0,,,6.5935,12.4115,12586.1,1318.07,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 16:48:59.999,,,0.0,0.0,,,6.598,12.4325,50374.77,3354.18,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 16:49:59.999,,,0.0,0.0,,,6.605499999999999,12.4355,1488.93,1726.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 16:50:59.999,,,0.0,0.0,,,6.5965,12.42,3673.04,3004.85,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 16:51:59.999,,,0.0,0.0,,,6.596,12.428,2426.39,2568.59,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
