index,close_time,transaction_id,positions,LTCUSDT_units,ATOMUSDT_units,entry_LTCUSDT_price,entry_ATOMUSDT_price,historical_LTCUSDT_mid,historical_ATOMUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LTCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 14:33:59.999,,,0.0,0.0,,,84.36500000000001,12.2285,778.448,5451.4,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 14:34:59.999,,,0.0,0.0,,,84.39500000000001,12.236,234.368,777.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 14:35:59.999,,,0.0,0.0,,,84.46000000000001,12.2435,86.941,1484.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 14:36:59.999,,,0.0,0.0,,,84.47,12.253,81.771,617.59,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 14:37:59.999,,,0.0,0.0,,,84.49,12.246,179.114,635.87,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 14:38:59.999,,,0.0,0.0,,,84.47,12.235,1230.573,485.41,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 14:39:59.999,,,0.0,0.0,,,84.51,12.251,347.552,491.64,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 14:40:59.999,,,0.0,0.0,,,84.535,12.2635,115.366,422.08,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 14:41:59.999,,,0.0,0.0,,,84.595,12.29,691.661,884.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 14:42:59.999,,,0.0,0.0,,,84.64,12.3195,1034.013,3631.39,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 14:43:59.999,,,0.0,0.0,,,84.625,12.3285,179.147,622.34,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 14:44:59.999,,,0.0,0.0,,,84.595,12.323,106.257,656.32,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 14:45:59.999,,,0.0,0.0,,,84.535,12.325,234.224,483.55,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
