index,close_time,transaction_id,positions,LUNCUSDT_units,ATOMUSDT_units,entry_LUNCUSDT_price,entry_ATOMUSDT_price,historical_LUNCUSDT_mid,historical_ATOMUSDT_mid,historical_LUNCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LUNCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LUNCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 11:52:59.999,,,0.0,0.0,,,0.000169975,12.255,2667987.62,1212.61,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 11:53:59.999,,,0.0,0.0,,,0.00016987,12.272,7749467.12,9630.15,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 11:54:59.999,,,0.0,0.0,,,0.000170085,12.29,350562112.38,930.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 11:55:59.999,,,0.0,0.0,,,0.00017004,12.2965,8497463.12,579.74,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 11:56:59.999,,,0.0,0.0,,,0.00017004,12.291,14359154.01,1110.29,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 11:57:59.999,,,0.0,0.0,,,0.00017004,12.291,8768930.4,724.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 11:58:59.999,,,0.0,0.0,,,0.000169915,12.279,10538806.02,729.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 11:59:59.999,,,0.0,0.0,,,0.00016977,12.2695,10792710.21,133.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 12:00:59.999,,,0.0,0.0,,,0.000169605,12.277,5007970.23,758.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 12:01:59.999,,,0.0,0.0,,,0.000169645,12.291,65187856.63,6206.68,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 12:02:59.999,,,0.0,0.0,,,0.00016963,12.3105,15337288.36,4487.47,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 12:03:59.999,,,0.0,0.0,,,0.000169695,12.3165,24641765.22,2023.75,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 12:04:59.999,,,0.0,0.0,,,0.00016969,12.303999999999998,48513617.39,4835.91,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 12:05:59.999,,,0.0,0.0,,,0.000169625,12.295,21552652.66,797.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 12:06:59.999,,,0.0,0.0,,,0.0001695849999999,12.2975,3787664.01,2313.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
15.0,2023-01-20 12:07:59.999,,,0.0,0.0,,,0.00016961,12.316,23704960.48,1194.59,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
16.0,2023-01-20 12:08:59.999,,,0.0,0.0,,,0.000169635,12.3285,23967539.84,992.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
17.0,2023-01-20 12:09:59.999,,,0.0,0.0,,,0.0001695949999999,12.341,14284788.17,9158.73,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
18.0,2023-01-20 12:10:59.999,,,0.0,0.0,,,0.0001696949999999,12.3325,29987139.28,1072.03,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
19.0,2023-01-20 12:11:59.999,,,0.0,0.0,,,0.00016977,12.3335,5384329.28,462.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
20.0,2023-01-20 12:12:59.999,,,0.0,0.0,,,0.00016977,12.322,12116891.32,489.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
21.0,2023-01-20 12:13:59.999,,,0.0,0.0,,,0.000169825,12.3195,12240882.31,2335.12,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
22.0,2023-01-20 12:14:59.999,,,0.0,0.0,,,0.0001698499999999,12.317,13370807.36,1123.85,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
23.0,2023-01-20 12:15:59.999,,,0.0,0.0,,,0.000169825,12.316,6399765.63,1725.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
24.0,2023-01-20 12:16:59.999,,,0.0,0.0,,,0.00016977,12.315,6668492.06,582.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
25.0,2023-01-20 12:17:59.999,,,0.0,0.0,,,0.0001698,12.3325,10173068.29,4047.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
26.0,2023-01-20 12:18:59.999,,,0.0,0.0,,,0.000169965,12.368,13968323.0,6546.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
27.0,2023-01-20 12:19:59.999,,,0.0,0.0,,,0.0001702149999999,12.4055,63385435.65,11546.03,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
28.0,2023-01-20 12:20:59.999,,,0.0,0.0,,,0.0001702699999999,12.414,55752187.59,6988.09,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
29.0,2023-01-20 12:21:59.999,,,0.0,0.0,,,0.00017022,12.3905,7140482.94,3219.93,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
30.0,2023-01-20 12:22:59.999,,,0.0,0.0,,,0.000170185,12.388,14133686.42,1682.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
31.0,2023-01-20 12:23:59.999,,,0.0,0.0,,,0.00017025,12.401,27301043.24,1772.12,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
32.0,2023-01-20 12:24:59.999,,,0.0,0.0,,,0.000170135,12.3975,22101369.71,1758.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
33.0,2023-01-20 12:25:59.999,,,0.0,0.0,,,0.0001702,12.399,16203223.57,1225.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
34.0,2023-01-20 12:26:59.999,,,0.0,0.0,,,0.00017018,12.4135,66009521.09,4691.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
35.0,2023-01-20 12:27:59.999,,,0.0,0.0,,,0.00017019,12.4105,25039371.04,420.97,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
36.0,2023-01-20 12:28:59.999,,,0.0,0.0,,,0.0001702149999999,12.4015,42027475.45,2041.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
37.0,2023-01-20 12:29:59.999,,,0.0,0.0,,,0.00017032,12.3905,3617491.65,5657.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
38.0,2023-01-20 12:30:59.999,,,0.0,0.0,,,0.000170515,12.4025,77760823.84,1901.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
39.0,2023-01-20 12:31:59.999,,,0.0,0.0,,,0.00017062,12.4195,23205458.38,1950.07,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
40.0,2023-01-20 12:32:59.999,,,0.0,0.0,,,0.00017052,12.3955,40491142.93,7591.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
41.0,2023-01-20 12:33:59.999,,,0.0,0.0,,,0.000170465,12.3845,9708470.59,3161.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
42.0,2023-01-20 12:34:59.999,,,0.0,0.0,,,0.00017067,12.3745,15962871.28,2980.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
