index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 14:11:59.999,,,0.0,0.0,,,2.085,5.8255,2769.7,1217.86,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 14:12:59.999,,,0.0,0.0,,,2.085,5.827500000000001,2497.4,1570.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 14:13:59.999,,,0.0,0.0,,,2.084,5.827,4350.6,600.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 14:14:59.999,,,0.0,0.0,,,2.0825,5.8255,10864.3,696.32,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 14:15:59.999,,,0.0,0.0,,,2.0825,5.8245000000000005,1741.2,106.94,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 14:16:59.999,,,0.0,0.0,,,2.084,5.827500000000001,1299.1,1473.27,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 14:17:59.999,,,0.0,0.0,,,2.084,5.8255,3040.3,1193.59,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 14:18:59.999,,,0.0,0.0,,,2.083,5.824,7777.2,1051.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 14:19:59.999,,,0.0,0.0,,,2.0815,5.821,1379.6,985.85,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 14:20:59.999,,,0.0,0.0,,,2.08,5.818,6707.4,756.44,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 14:21:59.999,,,0.0,0.0,,,2.0825,5.819,4919.2,3097.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 14:22:59.999,,,0.0,0.0,,,2.0845,5.822,3723.0,370.77,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 14:23:59.999,,,0.0,0.0,,,2.082,5.818,1881.4,755.23,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 14:24:59.999,,,0.0,0.0,,,2.082,5.8195,8090.4,1404.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 14:25:59.999,,,0.0,0.0,,,2.084,5.8235,2115.6,1240.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
15.0,2023-01-20 14:26:59.999,,,0.0,0.0,,,2.082,5.8205,4386.9,752.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
16.0,2023-01-20 14:27:59.999,,,0.0,0.0,,,2.079,5.815,7002.5,1711.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
