index,close_time,transaction_id,positions,NEARUSDT_units,JASMYUSDT_units,entry_NEARUSDT_price,entry_JASMYUSDT_price,historical_NEARUSDT_mid,historical_JASMYUSDT_mid,historical_NEARUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,JASMYUSDT_raw_pnl,NEARUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 14:11:59.999,,,0.0,0.0,,,2.085,0.004586,2769.7,171673.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 14:12:59.999,,,0.0,0.0,,,2.085,0.0045874999999999,2497.4,149097.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 14:13:59.999,,,0.0,0.0,,,2.084,0.0045885,4350.6,3018675.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 14:14:59.999,,,0.0,0.0,,,2.0825,0.00459,10864.3,77459.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 14:15:59.999,,,0.0,0.0,,,2.0825,0.0045895,1741.2,86526.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 14:16:59.999,,,0.0,0.0,,,2.084,0.004594,1299.1,1533283.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 14:17:59.999,,,0.0,0.0,,,2.084,0.0045925,3040.3,588908.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 14:18:59.999,,,0.0,0.0,,,2.083,0.004594,7777.2,435212.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 14:19:59.999,,,0.0,0.0,,,2.0815,0.0045915,1379.6,220461.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 14:20:59.999,,,0.0,0.0,,,2.08,0.0045845,6707.4,1542909.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 14:21:59.999,,,0.0,0.0,,,2.0825,0.004585,4919.2,440279.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 14:22:59.999,,,0.0,0.0,,,2.0845,0.004588,3723.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 14:23:59.999,,,0.0,0.0,,,2.082,0.0045815,1881.4,279314.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 14:24:59.999,,,0.0,0.0,,,2.082,0.0045845,8090.4,256953.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 14:25:59.999,,,0.0,0.0,,,2.084,0.004586,2115.6,272799.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 14:26:59.999,,,0.0,0.0,,,2.082,0.004579,4386.9,343122.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 14:27:59.999,,,0.0,0.0,,,2.079,0.0045725,7002.5,151309.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 14:28:59.999,,,0.0,0.0,,,2.079,0.0045725,10832.9,487948.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 14:29:59.999,,,0.0,0.0,,,2.0825,0.004581,11985.0,438833.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
