index,close_time,transaction_id,positions,NEARUSDT_units,LUNCUSDT_units,entry_NEARUSDT_price,entry_LUNCUSDT_price,historical_NEARUSDT_mid,historical_LUNCUSDT_mid,historical_NEARUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,LUNCUSDT_raw_pnl,NEARUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 14:11:59.999,,,0.0,0.0,,,2.085,0.0001706349999999,2769.7,9148941.21,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 14:12:59.999,,,0.0,0.0,,,2.085,0.00017072,2497.4,45550036.97,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 14:13:59.999,,,0.0,0.0,,,2.084,0.000170685,4350.6,6779563.05,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 14:14:59.999,,,0.0,0.0,,,2.0825,0.0001706899999999,10864.3,25961681.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 14:15:59.999,,,0.0,0.0,,,2.0825,0.000170755,1741.2,9474440.65,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 14:16:59.999,,,0.0,0.0,,,2.084,0.000170895,1299.1,8511626.35,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 14:17:59.999,,,0.0,0.0,,,2.084,0.0001709449999999,3040.3,18895221.72,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 14:18:59.999,,,0.0,0.0,,,2.083,0.00017074,7777.2,159644302.08,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 14:19:59.999,,,0.0,0.0,,,2.0815,0.00017063,1379.6,19267136.09,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 14:20:59.999,,,0.0,0.0,,,2.08,0.000170685,6707.4,17470432.47,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 14:21:59.999,,,0.0,0.0,,,2.0825,0.00017069,4919.2,9828629.52,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 14:22:59.999,,,0.0,0.0,,,2.0845,0.000170705,3723.0,37186305.27,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 14:23:59.999,,,0.0,0.0,,,2.082,0.000170655,1881.4,14238690.57,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 14:24:59.999,,,0.0,0.0,,,2.082,0.000170715,8090.4,27084192.23,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
