index,close_time,transaction_id,positions,SANDUSDT_units,DOTUSDT_units,entry_SANDUSDT_price,entry_DOTUSDT_price,historical_SANDUSDT_mid,historical_DOTUSDT_mid,historical_SANDUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,DOTUSDT_raw_pnl,SANDUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 15:08:59.999,,,0.0,0.0,,,0.6978500000000001,5.901,30538.0,11085.54,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 15:09:59.999,,,0.0,0.0,,,0.69725,5.891,40340.0,11656.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 15:10:59.999,,,0.0,0.0,,,0.6963999999999999,5.892,40001.0,4805.14,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 15:11:59.999,,,0.0,0.0,,,0.6959,5.885,34369.0,8058.39,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 15:12:59.999,,,0.0,0.0,,,0.6956,5.882,24941.0,6534.72,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 15:13:59.999,,,0.0,0.0,,,0.696,5.8925,12507.0,15481.26,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 15:14:59.999,,,0.0,0.0,,,0.6958500000000001,5.894,16135.0,10850.52,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 15:15:59.999,,,0.0,0.0,,,0.6953499999999999,5.885,9718.0,4559.17,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 15:16:59.999,,,0.0,0.0,,,0.6942,5.874,18407.0,17548.67,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 15:17:59.999,,,0.0,0.0,,,0.6932,5.8725000000000005,18773.0,3544.24,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 15:18:59.999,,,0.0,0.0,,,0.6935,5.859,18114.0,26783.55,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 15:19:59.999,,,0.0,0.0,,,0.69475,5.866,17556.0,12396.08,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 15:20:59.999,,,0.0,0.0,,,0.6959,5.8745,13426.0,6624.54,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 15:21:59.999,,,0.0,0.0,,,0.69705,5.885,15361.0,4834.47,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 15:22:59.999,,,0.0,0.0,,,0.69725,5.8935,31537.0,7318.19,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 15:23:59.999,,,0.0,0.0,,,0.6961999999999999,5.881,25514.0,5849.04,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 15:24:59.999,,,0.0,0.0,,,0.69675,5.8735,15555.0,5543.29,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 15:25:59.999,,,0.0,0.0,,,0.69535,5.8665,18667.0,3742.01,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 15:26:59.999,,,0.0,0.0,,,0.6940500000000001,5.8580000000000005,8835.0,2142.53,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
