index,close_time,transaction_id,positions,SANDUSDT_units,JASMYUSDT_units,entry_SANDUSDT_price,entry_JASMYUSDT_price,historical_SANDUSDT_mid,historical_JASMYUSDT_mid,historical_SANDUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,SANDUSDT_raw_pnl,JASMYUSDT_raw_pnl,SANDUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 15:08:59.999,,,0.0,0.0,,,0.6978500000000001,0.004624,30538.0,981090.0,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 15:09:59.999,,,0.0,0.0,,,0.69725,0.0046225,40340.0,400287.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 15:10:59.999,,,0.0,0.0,,,0.6963999999999999,0.004618,40001.0,385717.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 15:11:59.999,,,0.0,0.0,,,0.6959,0.004612,34369.0,2136981.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 15:12:59.999,,,0.0,0.0,,,0.6956,0.004614,24941.0,327261.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 15:13:59.999,,,0.0,0.0,,,0.696,0.0046149999999999,12507.0,1840369.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 15:14:59.999,,,0.0,0.0,,,0.6958500000000001,0.0046149999999999,16135.0,621733.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 15:15:59.999,,,0.0,0.0,,,0.6953499999999999,0.0046125,9718.0,547403.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 15:16:59.999,,,0.0,0.0,,,0.6942,0.004606,18407.0,408146.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 15:17:59.999,,,0.0,0.0,,,0.6932,0.004602,18773.0,2151070.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 15:18:59.999,,,0.0,0.0,,,0.6935,0.004605,18114.0,516507.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 15:19:59.999,,,0.0,0.0,,,0.69475,0.0046125,17556.0,724291.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 15:20:59.999,,,0.0,0.0,,,0.6959,0.004618,13426.0,413182.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 15:21:59.999,,,0.0,0.0,,,0.69705,0.0046255,15361.0,624007.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 15:22:59.999,,,0.0,0.0,,,0.69725,0.0046295,31537.0,544361.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
