index,close_time,transaction_id,positions,SHIBUSDT_units,SANDUSDT_units,entry_SHIBUSDT_price,entry_SANDUSDT_price,historical_SHIBUSDT_mid,historical_SANDUSDT_mid,historical_SHIBUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,SHIBUSDT_raw_pnl,SANDUSDT_raw_pnl,SHIBUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 13:42:59.999,,,0.0,0.0,,,1.149e-05,0.6928,4507984769.0,11951.0,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 13:43:59.999,,,0.0,0.0,,,1.1485e-05,0.6922999999999999,434056997.0,13223.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 13:44:59.999,,,0.0,0.0,,,1.1465e-05,0.69155,2672123357.0,14390.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 13:45:59.999,,,0.0,0.0,,,1.1465e-05,0.6916,1074637641.0,3858.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 13:46:59.999,,,0.0,0.0,,,1.1465e-05,0.6918500000000001,534996639.0,12475.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 13:47:59.999,,,0.0,0.0,,,1.1455e-05,0.69085,342000346.0,19225.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 13:48:59.999,,,0.0,0.0,,,1.145e-05,0.69055,1232412500.0,28595.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 13:49:59.999,,,0.0,0.0,,,1.144e-05,0.6900999999999999,1206230228.0,20964.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 13:50:59.999,,,0.0,0.0,,,1.144e-05,0.6900999999999999,2485624799.0,10587.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 13:51:59.999,,,0.0,0.0,,,1.144e-05,0.69035,2881564240.0,2377.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 13:52:59.999,,,0.0,0.0,,,1.1445e-05,0.6903,306987931.0,2479.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 13:53:59.999,,,0.0,0.0,,,1.1445e-05,0.69035,308983896.0,3779.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 13:54:59.999,,,0.0,0.0,,,1.1435e-05,0.6897,2545775880.0,38410.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 13:55:59.999,,,0.0,0.0,,,1.143e-05,0.6887,3755004804.0,5929.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 13:56:59.999,,,0.0,0.0,,,1.143e-05,0.6888,4389895413.0,20298.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
15.0,2023-01-20 13:57:59.999,,,0.0,0.0,,,1.1425e-05,0.6883,399848859.0,5385.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
16.0,2023-01-20 13:58:59.999,,,0.0,0.0,,,1.143e-05,0.6890000000000001,797413173.0,6792.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
17.0,2023-01-20 13:59:59.999,,,0.0,0.0,,,1.143e-05,0.6891499999999999,492092631.0,3207.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
18.0,2023-01-20 14:00:59.999,,,0.0,0.0,,,1.1415e-05,0.6888000000000001,2501725991.0,16843.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
19.0,2023-01-20 14:01:59.999,,,0.0,0.0,,,1.142e-05,0.68955,4541496675.0,25667.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
20.0,2023-01-20 14:02:59.999,,,0.0,0.0,,,1.142e-05,0.6898500000000001,956843255.0,16057.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
21.0,2023-01-20 14:03:59.999,,,0.0,0.0,,,1.143e-05,0.6898500000000001,2444730438.0,13258.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
22.0,2023-01-20 14:04:59.999,,,0.0,0.0,,,1.144e-05,0.6897,1420048524.0,18854.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
