index,close_time,transaction_id,positions,SOLUSDT_units,SANDUSDT_units,entry_SOLUSDT_price,entry_SANDUSDT_price,historical_SOLUSDT_mid,historical_SANDUSDT_mid,historical_SOLUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,SOLUSDT_raw_pnl,SANDUSDT_raw_pnl,SOLUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 12:29:59.999,,,0.0,0.0,,,21.345,0.6933499999999999,2453.71,11990.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 12:30:59.999,,,0.0,0.0,,,21.36,0.69345,4736.69,14659.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 12:31:59.999,,,0.0,0.0,,,21.36,0.6933,3157.96,30647.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 12:32:59.999,,,0.0,0.0,,,21.335,0.6934,3736.48,20988.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 12:33:59.999,,,0.0,0.0,,,21.335,0.6934499999999999,4773.35,10223.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 12:34:59.999,,,0.0,0.0,,,21.35,0.6939500000000001,1580.04,13878.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 12:35:59.999,,,0.0,0.0,,,21.33,0.6937500000000001,1142.94,16488.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 12:36:59.999,,,0.0,0.0,,,21.315,0.69355,3136.16,20745.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 12:37:59.999,,,0.0,0.0,,,21.295,0.6931,2072.63,42523.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 12:38:59.999,,,0.0,0.0,,,21.315,0.6933,3705.56,7306.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 12:39:59.999,,,0.0,0.0,,,21.32,0.6933499999999999,870.71,20645.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 12:40:59.999,,,0.0,0.0,,,21.33,0.6934,1309.12,13626.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 12:41:59.999,,,0.0,0.0,,,21.335,0.694,3025.17,27236.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
