index,close_time,transaction_id,positions,XRPUSDT_units,ATOMUSDT_units,entry_XRPUSDT_price,entry_ATOMUSDT_price,historical_XRPUSDT_mid,historical_ATOMUSDT_mid,historical_XRPUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,ATOMUSDT_raw_pnl,XRPUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,0.3964999999999999,12.4705,330335.0,3482.93,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,0.3966,12.4635,367451.0,6420.61,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,0.3972,12.482,800336.0,1275.41,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,0.3974,12.484,325232.0,1508.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,0.3969,12.486,390580.0,1779.42,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,0.397,12.4905,207685.0,1167.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,0.39725,12.503,202179.0,5433.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,0.39735,12.5105,440693.0,2637.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,0.3977,12.5385,360435.0,10208.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,0.3977,12.569,368463.0,6863.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,0.3981,12.5895,702715.0,10292.52,3.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 17:09:59.999,,,0.0,0.0,,,0.39825,12.6275,223741.0,13836.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 17:10:59.999,,,0.0,0.0,,,0.39805,12.63,296691.0,12873.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 17:11:59.999,,,0.0,0.0,,,0.398,12.6425,176159.0,6949.01,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 17:12:59.999,,,0.0,0.0,,,0.39805,12.64,113913.0,3922.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
15.0,2023-01-20 17:13:59.999,,,0.0,0.0,,,0.3978,12.6385,358643.0,2887.57,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
16.0,2023-01-20 17:14:59.999,,,0.0,0.0,,,0.39735,12.625,269248.0,5341.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
17.0,2023-01-20 17:15:59.999,,,0.0,0.0,,,0.39735,12.6235,282948.0,1850.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
18.0,2023-01-20 17:16:59.999,,,0.0,0.0,,,0.3977,12.6405,400452.0,7898.03,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
19.0,2023-01-20 17:17:59.999,,,0.0,0.0,,,0.39715,12.629,559916.0,3022.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
20.0,2023-01-20 17:18:59.999,,,0.0,0.0,,,0.3967,12.6585,405359.0,21087.29,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
21.0,2023-01-20 17:19:59.999,,,0.0,0.0,,,0.3962,12.67,327483.0,1817.57,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
22.0,2023-01-20 17:20:59.999,,,0.0,0.0,,,0.39635,12.659,274113.0,1896.76,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
23.0,2023-01-20 17:21:59.999,,,0.0,0.0,,,0.3967,12.641,253891.0,1784.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
24.0,2023-01-20 17:22:59.999,,,0.0,0.0,,,0.39685,12.6225,277957.0,7788.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
25.0,2023-01-20 17:23:59.999,,,0.0,0.0,,,0.3964,12.614,179805.0,2256.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
26.0,2023-01-20 17:24:59.999,,,0.0,0.0,,,0.3963,12.615,133098.0,1476.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
27.0,2023-01-20 17:25:59.999,,,0.0,0.0,,,0.39605,12.5895,181307.0,4863.59,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
28.0,2023-01-20 17:26:59.999,,,0.0,0.0,,,0.39585,12.5585,418128.0,23760.42,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
29.0,2023-01-20 17:27:59.999,,,0.0,0.0,,,0.396,12.552,833412.0,1655.09,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
30.0,2023-01-20 17:28:59.999,,,0.0,0.0,,,0.39605,12.571000000000002,195582.0,784.68,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
31.0,2023-01-20 17:29:59.999,,,0.0,0.0,,,0.39585,12.5555,270775.0,1520.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
32.0,2023-01-20 17:30:59.999,,,0.0,0.0,,,0.3955999999999999,12.5625,136862.0,1143.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
33.0,2023-01-20 17:31:59.999,,,0.0,0.0,,,0.396,12.6005,432627.0,14878.79,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
34.0,2023-01-20 17:32:59.999,,,0.0,0.0,,,0.39605,12.645,110072.0,12246.13,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
35.0,2023-01-20 17:33:59.999,,,0.0,0.0,,,0.3959,12.672,279793.0,7121.37,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
36.0,2023-01-20 17:34:59.999,,,0.0,0.0,,,0.39585,12.7025,160445.0,25789.41,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
37.0,2023-01-20 17:35:59.999,,,0.0,0.0,,,0.3958,12.6895,193652.0,4573.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
38.0,2023-01-20 17:36:59.999,,,0.0,0.0,,,0.39525,12.665,564120.0,4427.76,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
39.0,2023-01-20 17:37:59.999,,,0.0,0.0,,,0.3951,12.6985,227482.0,5199.64,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
40.0,2023-01-20 17:38:59.999,,,0.0,0.0,,,0.3951,12.7135,284382.0,4505.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
41.0,2023-01-20 17:39:59.999,,,0.0,0.0,,,0.3954,12.7235,185512.0,1443.15,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
42.0,2023-01-20 17:40:59.999,,,0.0,0.0,,,0.3956,12.7495,185554.0,5805.78,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
43.0,2023-01-20 17:41:59.999,,,0.0,0.0,,,0.3957,12.758,486756.0,5997.46,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
44.0,2023-01-20 17:42:59.999,,,0.0,0.0,,,0.3957,12.735,231211.0,4086.63,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
45.0,2023-01-20 17:43:59.999,,,0.0,0.0,,,0.3959,12.7475,132635.0,1987.14,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
46.0,2023-01-20 17:44:59.999,,,0.0,0.0,,,0.39585,12.769,127486.0,1688.65,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
47.0,2023-01-20 17:45:59.999,,,0.0,0.0,,,0.39615,12.749,684843.0,7078.13,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
48.0,2023-01-20 17:46:59.999,,,0.0,0.0,,,0.3965499999999999,12.7235,148329.0,2276.06,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
49.0,2023-01-20 17:47:59.999,,,0.0,0.0,,,0.3964999999999999,12.701,128688.0,2972.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
50.0,2023-01-20 17:48:59.999,,,0.0,0.0,,,0.3965499999999999,12.693,158938.0,1921.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
51.0,2023-01-20 17:49:59.999,,,0.0,0.0,,,0.3968,12.6815,153077.0,2671.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
52.0,2023-01-20 17:50:59.999,,,0.0,0.0,,,0.397,12.6845,146864.0,1770.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
53.0,2023-01-20 17:51:59.999,,,0.0,0.0,,,0.39705,12.6905,188371.0,2118.55,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
54.0,2023-01-20 17:52:59.999,,,0.0,0.0,,,0.39705,12.694,160678.0,1523.88,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
55.0,2023-01-20 17:53:59.999,,,0.0,0.0,,,0.3972,12.6955,261195.0,12446.63,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
56.0,2023-01-20 17:54:59.999,,,0.0,0.0,,,0.39735,12.694,436271.0,6028.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
57.0,2023-01-20 17:55:59.999,,,0.0,0.0,,,0.3969,12.675,285685.0,4735.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
58.0,2023-01-20 17:56:59.999,,,0.0,0.0,,,0.3968,12.667,113934.0,3534.55,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
59.0,2023-01-20 17:57:59.999,,,0.0,0.0,,,0.3971,12.685,139206.0,789.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
60.0,2023-01-20 17:58:59.999,,,0.0,0.0,,,0.3967,12.691,145626.0,597.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
