index,close_time,transaction_id,positions,XRPUSDT_units,LUNCUSDT_units,entry_XRPUSDT_price,entry_LUNCUSDT_price,historical_XRPUSDT_mid,historical_LUNCUSDT_mid,historical_XRPUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LUNCUSDT_raw_pnl,XRPUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,0.3964999999999999,0.00017328,330335.0,32319343.11,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,0.3966,0.00017311,367451.0,128790410.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,0.3972,0.0001733999999999,800336.0,53422891.49,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,0.3974,0.00017355,325232.0,47123653.17,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,0.3969,0.000173415,390580.0,64994347.93,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,0.397,0.00017371,207685.0,86452027.83,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,0.39725,0.0001738749999999,202179.0,116256192.34,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,0.39735,0.00017375,440693.0,34223981.89,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,0.3977,0.000173835,360435.0,64227995.52,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,0.3977,0.0001739,368463.0,226927765.86,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,0.3981,0.000173825,702715.0,97730819.05,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 17:09:59.999,,,0.0,0.0,,,0.39825,0.000173935,223741.0,85950144.63,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 17:10:59.999,,,0.0,0.0,,,0.39805,0.00017396,296691.0,15676114.44,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 17:11:59.999,,,0.0,0.0,,,0.398,0.00017421,176159.0,95449589.32,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 17:12:59.999,,,0.0,0.0,,,0.39805,0.000174495,113913.0,44863496.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15.0,2023-01-20 17:13:59.999,,,0.0,0.0,,,0.3978,0.0001744499999999,358643.0,56933253.43,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 17:14:59.999,,,0.0,0.0,,,0.39735,0.000174165,269248.0,55930445.81,3.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 17:15:59.999,,,0.0,0.0,,,0.39735,0.000174175,282948.0,46585350.54,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 17:16:59.999,,,0.0,0.0,,,0.3977,0.00017419,400452.0,169136877.86,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 17:17:59.999,,,0.0,0.0,,,0.39715,0.00017418,559916.0,61751065.21,4.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20.0,2023-01-20 17:18:59.999,,,0.0,0.0,,,0.3967,0.000174325,405359.0,57120468.62,3.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21.0,2023-01-20 17:19:59.999,,,0.0,0.0,,,0.3962,0.000174255,327483.0,57158459.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
