index,close_time,transaction_id,positions,XRPUSDT_units,MATICUSDT_units,entry_XRPUSDT_price,entry_MATICUSDT_price,historical_XRPUSDT_mid,historical_MATICUSDT_mid,historical_XRPUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,MATICUSDT_raw_pnl,XRPUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:58:59.999,,,0,0,,,0.3964999999999999,0.97575,330335.0,161667.7,0.0,10000,0,0,0,0,0,0,0,,
1.0,2023-01-20 16:59:59.999,,,0,0,,,0.3966,0.97445,367451.0,67740.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
2.0,2023-01-20 17:00:59.999,,,0,0,,,0.3972,0.9763,800336.0,99028.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
3.0,2023-01-20 17:01:59.999,,,0,0,,,0.3974,0.9771,325232.0,20251.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
4.0,2023-01-20 17:02:59.999,,,0,0,,,0.3969,0.97685,390580.0,33532.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
5.0,2023-01-20 17:03:59.999,,,0,0,,,0.397,0.9774,207685.0,40894.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
6.0,2023-01-20 17:04:59.999,,,0,0,,,0.39725,0.9781,202179.0,22545.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
7.0,2023-01-20 17:05:59.999,,,0,0,,,0.39735,0.9782,440693.0,92579.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
8.0,2023-01-20 17:06:59.999,,,0,0,,,0.3977,0.97885,360435.0,80293.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
9.0,2023-01-20 17:07:59.999,,,0,0,,,0.3977,0.97855,368463.0,35265.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
10.0,2023-01-20 17:08:59.999,,,0,0,,,0.3981,0.97785,702715.0,63255.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
11.0,2023-01-20 17:09:59.999,,,0,0,,,0.39825,0.9788,223741.0,82775.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
12.0,2023-01-20 17:10:59.999,,,0,0,,,0.39805,0.979,296691.0,100052.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
13.0,2023-01-20 17:11:59.999,,,0,0,,,0.398,0.9797,176159.0,43980.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
14.0,2023-01-20 17:12:59.999,,,0,0,,,0.39805,0.97985,113913.0,76649.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
15.0,2023-01-20 17:13:59.999,,,0,0,,,0.3978,0.9796,358643.0,96759.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
16.0,2023-01-20 17:14:59.999,,,0,0,,,0.39735,0.979,269248.0,22697.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
17.0,2023-01-20 17:15:59.999,,,0,0,,,0.39735,0.97905,282948.0,38761.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
18.0,2023-01-20 17:16:59.999,,,0,0,,,0.3977,0.9802,400452.0,166798.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
19.0,2023-01-20 17:17:59.999,,,0,0,,,0.39715,0.9798,559916.0,52721.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
20.0,2023-01-20 17:18:59.999,,,0,0,,,0.3967,0.9794,405359.0,28399.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
21.0,2023-01-20 17:19:59.999,,,0,0,,,0.3962,0.97935,327483.0,54497.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
22.0,2023-01-20 17:20:59.999,,,0,0,,,0.39635,0.9797,274113.0,49254.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
23.0,2023-01-20 17:21:59.999,,,0,0,,,0.3967,0.97965,253891.0,47265.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
24.0,2023-01-20 17:22:59.999,,,0,0,,,0.39685,0.9796,277957.0,28082.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
25.0,2023-01-20 17:23:59.999,,,0,0,,,0.3964,0.97925,179805.0,33578.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
26.0,2023-01-20 17:24:59.999,,,0,0,,,0.3963,0.97915,133098.0,154206.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
27.0,2023-01-20 17:25:59.999,,,0,0,,,0.39605,0.97835,181307.0,364390.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
28.0,2023-01-20 17:26:59.999,,,0,0,,,0.39585,0.9771,418128.0,107146.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
29.0,2023-01-20 17:27:59.999,,,0,0,,,0.396,0.97725,833412.0,68278.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
30.0,2023-01-20 17:28:59.999,,,0,0,,,0.39605,0.97905,195582.0,70250.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
31.0,2023-01-20 17:29:59.999,,,0,0,,,0.39585,0.97835,270775.0,45608.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
32.0,2023-01-20 17:30:59.999,,,0,0,,,0.3955999999999999,0.9787,136862.0,96812.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
33.0,2023-01-20 17:31:59.999,,,0,0,,,0.396,0.9799,432627.0,49206.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
34.0,2023-01-20 17:32:59.999,,,0,0,,,0.39605,0.97995,110072.0,35881.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
35.0,2023-01-20 17:33:59.999,,,0,0,,,0.3959,0.97955,279793.0,33905.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
36.0,2023-01-20 17:34:59.999,,,0,0,,,0.39585,0.97935,160445.0,30708.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
37.0,2023-01-20 17:35:59.999,,,0,0,,,0.3958,0.9796,193652.0,69144.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
38.0,2023-01-20 17:36:59.999,,,0,0,,,0.39525,0.97835,564120.0,53947.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
39.0,2023-01-20 17:37:59.999,,,0,0,,,0.3951,0.9773,227482.0,70999.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
40.0,2023-01-20 17:38:59.999,,,0,0,,,0.3951,0.9774,284382.0,29661.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
41.0,2023-01-20 17:39:59.999,,,0,0,,,0.3954,0.97895,185512.0,21942.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
42.0,2023-01-20 17:40:59.999,,,0,0,,,0.3956,0.97985,185554.0,63144.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
43.0,2023-01-20 17:41:59.999,,,0,0,,,0.3957,0.97985,486756.0,41217.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
44.0,2023-01-20 17:42:59.999,,,0,0,,,0.3957,0.9799,231211.0,45975.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
45.0,2023-01-20 17:43:59.999,,,0,0,,,0.3959,0.9795,132635.0,72354.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
46.0,2023-01-20 17:44:59.999,,,0,0,,,0.39585,0.9795,127486.0,28511.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
47.0,2023-01-20 17:45:59.999,,,0,0,,,0.39615,0.97995,684843.0,26968.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
48.0,2023-01-20 17:46:59.999,,,0,0,,,0.3965499999999999,0.97975,148329.0,43565.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
49.0,2023-01-20 17:47:59.999,,,0,0,,,0.3964999999999999,0.9786,128688.0,45460.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
50.0,2023-01-20 17:48:59.999,,,0,0,,,0.3965499999999999,0.97775,158938.0,116951.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
51.0,2023-01-20 17:49:59.999,,,0,0,,,0.3968,0.97835,153077.0,113808.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
52.0,2023-01-20 17:50:59.999,,,0,0,,,0.397,0.9786,146864.0,171895.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
53.0,2023-01-20 17:51:59.999,,,0,0,,,0.39705,0.97955,188371.0,74448.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
54.0,2023-01-20 17:52:59.999,,,0,0,,,0.39705,0.97985,160678.0,19134.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
55.0,2023-01-20 17:53:59.999,,,0,0,,,0.3972,0.98115,261195.0,122193.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
56.0,2023-01-20 17:54:59.999,,,0,0,,,0.39735,0.9822,436271.0,210091.1,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
57.0,2023-01-20 17:55:59.999,,,0,0,,,0.3969,0.9821,285685.0,57756.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
58.0,2023-01-20 17:56:59.999,,,0,0,,,0.3968,0.983,113934.0,208182.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
59.0,2023-01-20 17:57:59.999,,,0,0,,,0.3971,0.9836,139206.0,64965.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
60.0,2023-01-20 17:58:59.999,,,0,0,,,0.3967,0.98345,145626.0,54475.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
61.0,2023-01-20 17:59:59.999,,,0,0,,,0.39635,0.98265,157461.0,22185.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
62.0,2023-01-20 18:00:59.999,,,0,0,,,0.3964499999999999,0.9835,635402.0,177022.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
63.0,2023-01-20 18:01:59.999,,,0,0,,,0.39675,0.98475,368661.0,157756.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
64.0,2023-01-20 18:02:59.999,,,0,0,,,0.3974,0.9845,388654.0,484243.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
65.0,2023-01-20 18:03:59.999,,,0,0,,,0.3976,0.9829,2168715.0,197092.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
