index,close_time,transaction_id,positions,XRPUSDT_units,SANDUSDT_units,entry_XRPUSDT_price,entry_SANDUSDT_price,historical_XRPUSDT_mid,historical_SANDUSDT_mid,historical_XRPUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,SANDUSDT_raw_pnl,XRPUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,0.3964999999999999,0.7040500000000001,330335.0,24331.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:59:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.3966,0.7035,367451.0,35122.0,1.0,10000.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
2.0,2023-01-20 17:00:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.3972,0.7051000000000001,800336.0,22539.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 17:01:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.3974,0.7066,325232.0,44820.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 17:02:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.3969,0.7061999999999999,390580.0,14665.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 17:03:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.397,0.7073,207685.0,36242.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 17:04:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.39725,0.7081999999999999,202179.0,38117.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 17:05:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.39735,0.70735,440693.0,68811.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 17:06:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.3977,0.7082999999999999,360435.0,82812.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 17:07:59.999,1.0,short,-1260.7160867372668,177.8046064782818,0.3966,0.7035,0.3977,0.7088,368463.0,47842.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
