index,close_time,transaction_id,positions,XRPUSDT_units,TRXUSDT_units,entry_XRPUSDT_price,entry_TRXUSDT_price,historical_XRPUSDT_mid,historical_TRXUSDT_mid,historical_XRPUSDT_vol,historical_TRXUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,TRXUSDT_raw_pnl,XRPUSDT_cost,TRXUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,0.3964999999999999,0.06111,330335.0,434315.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,0.3966,0.061055,367451.0,413923.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,0.3972,0.061145,800336.0,1507236.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,0.3974,0.06121,325232.0,435951.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,0.3969,0.061195,390580.0,350606.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,0.397,0.0612,207685.0,354985.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 17:04:59.999,,,0.0,0.0,,,0.39725,0.06123,202179.0,112124.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 17:05:59.999,,,0.0,0.0,,,0.39735,0.061215,440693.0,277331.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 17:06:59.999,,,0.0,0.0,,,0.3977,0.06124,360435.0,89522.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 17:07:59.999,,,0.0,0.0,,,0.3977,0.061225,368463.0,108815.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 17:08:59.999,,,0.0,0.0,,,0.3981,0.06121,702715.0,108700.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
