metric,algo_type_col,count,mean,std,min,25%,50%,75%,max
win_ratio,ai_algo,26.0,0.7869160753776138,0.18812921293334625,0.3333333333333333,0.6942307692307692,0.8321678321678322,0.9125,1.0
win_ratio,standard_algo,26.0,0.917742673992674,0.13081833174001073,0.6666666666666666,0.8678571428571429,1.0,1.0,1.0
max_drawdown,ai_algo,26.0,0.00014183716931575834,0.00019017115336516006,0.0,0.0,5.6584691228434014e-05,0.000191160041032375,0.0006875349618041
max_drawdown,standard_algo,26.0,2.4770724794889517e-06,1.2630640909497829e-05,0.0,0.0,0.0,0.0,6.440388446671275e-05
avg_trade_duration,ai_algo,26.0,186.97210613042063,144.5621272123817,87.11764705882354,111.01948051948051,129.6818181818182,182.64999999999998,680.0
avg_trade_duration,standard_algo,26.0,257.1211302586302,113.47720476744549,95.8,144.39488636363637,270.75,323.0,487.3333333333333
fees,ai_algo,26.0,7.0997405477847515,3.5927324408917687,1.5201970340586892,4.8267712380803545,7.273150321151737,9.220850249559724,13.933129620982076
fees,standard_algo,26.0,4.347780892858467,2.8783994168824747,1.4701209493435734,1.9780662368471083,3.4213385040437743,5.753294512248239,11.18761919111107
num_trades,ai_algo,26.0,9.153846153846153,5.065114472090894,2.0,5.0,9.0,12.75,21.0
num_trades,standard_algo,26.0,5.346153846153846,3.4864573158701675,2.0,3.0,4.0,7.0,16.0
net_pnl,ai_algo,26.0,22.07498408731389,13.34365491716761,-6.540344124144525,15.511133791805907,22.273861287422633,30.436886121848943,48.39823684351693
net_pnl,standard_algo,26.0,26.5785480168013,8.12619928416809,14.70445936912432,20.71600012805899,23.270888761712673,33.362338546731536,42.63518296204577
annualized_volatility,ai_algo,26.0,0.16406069284347602,0.05873872174878225,0.041280589688475,0.1250551472874295,0.15283487929831124,0.2092368473933339,0.2713654083384542
annualized_volatility,standard_algo,26.0,0.1654409709026109,0.10443961472194785,0.0431247953631228,0.09572010780568205,0.1375155331545741,0.18576285366914355,0.4483919069733286
annualized_return,ai_algo,26.0,5.173285841829041,8.135526931748528,-0.1576062240244079,0.6777879484018144,1.4964061341635722,4.627953765558895,32.642290573456705
annualized_return,standard_algo,26.0,3.853236380002465,2.253166018952033,1.041733742061584,2.0922195766816234,3.618037065722023,4.987920882340517,9.092278832337996
sharpe_ratio,ai_algo,26.0,43.62205312670349,91.31844610913791,-1.329601265543312,4.592545999101824,9.772588096878852,37.412478213897515,395.3895188985851
sharpe_ratio,standard_algo,26.0,32.52959506427425,24.066651968552687,3.953164669135334,9.181631336584399,29.879944712401347,53.87908887091031,75.64214568569193
