metric,model,count,mean,std,min,25%,50%,75%,max
mape,lstm,17.0,3.4650491683031426,3.124527897346676,0.7300972647348476,1.3106178914382005,1.9730599204525292,5.030923700019392,11.643039646081425
mape,transformer,17.0,1.3396296913243726,1.7824037308271086,0.1842722680120427,0.3613209034506308,0.5920105201215706,1.3342416175616902,5.887485918928696
r2,lstm,17.0,-386.8309661801745,736.1921148935443,-2002.793406221016,-121.52704649453888,-28.707828883802577,18.29767318760258,84.33154075565045
r2,transformer,17.0,-27.333849612597252,270.63907404319906,-908.778616499575,42.42440332134933,88.12958191282677,93.3567783292766,99.11051248653136
mae,lstm,17.0,106.50549848525785,417.874383999718,9.366834302547196e-07,0.0009793475158954,0.0927734129777415,0.2609623855094086,1726.287548338321
mae,transformer,17.0,79.00947583969023,315.6294145227572,4.3336459127918826e-08,0.0005137227133335,0.0254996601223998,0.0472720582031307,1303.2880809199246
mse,lstm,17.0,183968.91988715087,756746.0291189252,9.055399746851043e-13,1.1855416100230766e-06,0.0090933639552799,0.0742104262328168,3120567.703039484
mse,transformer,17.0,109197.31005771547,449755.408110847,2.9770460591760147e-15,3.120482756960159e-07,0.0009591921921707,0.0027054614675718,1854503.7892418583
rmse,lstm,17.0,108.96344739866078,427.6118332749608,9.515986415948188e-07,0.0010888257941576,0.0953591314729739,0.272415906717682,1766.512865234636
rmse,transformer,17.0,82.7050352788162,329.77948904846517,5.4562313543104224e-08,0.0005586128137592,0.0309708280833877,0.0520140506745229,1361.8016703036674
training_time,lstm,17.0,1307.291089029873,528.4105211625622,825.348424911499,948.6503350734712,1176.546312570572,1435.342892408371,2932.920434474945
training_time,transformer,17.0,840.3312431924484,467.7753414577096,338.05971789360046,570.936229467392,742.358288526535,1018.3848962783812,2248.8314924240112
