metric,threshold,H0,Ha,normality_test_p_value_col,is_normal,t_stat,p_value_ttest,wilcoxon_stat,p_value_wilcoxon,decision
mae,0.04,lstm<=0.04,lstm>0.04,2.860175171684062e-08,no,,,117.0,0.0284423828125,Reject H0
mae,0.01,transformer<=0.01,transformer>0.01,2.5808728702976624e-08,no,,,117.0,0.0284423828125,Reject H0
mape,1.6400000000000012,lstm<=1.6400000000000012,lstm>1.6400000000000012,0.00325242685560506,no,,,113.0,0.0443267822265625,Reject H0
mape,0.4200000000000002,transformer<=0.4200000000000002,transformer>0.4200000000000002,3.0207304457014745e-05,no,,,115.0,0.03570556640625,Reject H0
mse,0.0,lstm<=0.0,lstm>0.0,2.1948035376488037e-08,no,,,153.0,7.62939453125e-06,Reject H0
mse,0.0,transformer<=0.0,transformer>0.0,2.179447939738929e-08,no,,,153.0,7.62939453125e-06,Reject H0
r2,0.0,lstm<=0.0,lstm>0.0,2.2958183259778164e-05,no,,,40.0,0.9601593017578125,Fail to reject H0
r2,0.0,transformer<=0.0,transformer>0.0,2.619035739187603e-06,no,,,105.0,0.0950469970703125,Fail to reject H0
rmse,0.05,lstm<=0.05,lstm>0.05,2.8561600612044246e-08,no,,,112.0,0.04918670654296875,Reject H0
rmse,0.01,transformer<=0.01,transformer>0.01,2.607813544168431e-08,no,,,117.0,0.0284423828125,Reject H0
training_time,1048.1999999991917,lstm<=1048.1999999991917,lstm>1048.1999999991917,0.0017783649021727856,no,,,112.0,0.04918670654296875,Reject H0
training_time,642.239999999561,transformer<=642.239999999561,transformer>642.239999999561,0.00961292139326078,no,,,112.0,0.04918670654296875,Reject H0
