coin1,coin2,in_sample_start_date,in_sample_end_date,out_of_sample_end_date,rmse,mse,mae,r2,mape,adf_p_value,correlation,correlation_p_value,hurst,half_life
LINKUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.0037778982215481,1.4272514972376748e-05,0.0027879629440552,0.7866074401301927,0.6272602044651086,0.016438239080778943,0.8954290995423191,0.0,0.3877875756293735,88.0
XRPUSDT,TRXUSDT,2023-01-01,2023-01-19,2023-01-23,0.0072723012113321,5.288636490834242e-05,0.0057993411380105,-1.5416218641369626,0.1489280158945112,0.03536386793756667,0.7337754564056606,0.0,0.30680807456923326,63.0
DOTUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.0068014034644028,4.625908908559081e-05,0.0059055790173391,0.0969249524664531,0.1802301460145672,0.04611042612766781,0.9465713140991359,0.0,0.30857846822193746,46.0
LTCUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0069953145382566,4.893442548914428e-05,0.0061857047124591,0.729299328956633,3.541790064309461,0.01929844756080845,0.7202862312316594,0.0,0.38877388843918714,128.0
NEARUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0159517556863913,0.0002544585094783,0.009991793003431,0.6599556091606,0.2929871844445659,0.002456193241824026,0.8342058666111074,0.0,0.4202705726502847,75.0
XRPUSDT,LTCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0124981266203465,0.0001562031690182,0.010811159156958,-4.390367126527365,0.3761218645508157,0.001955145656161411,0.8513451481520742,0.0,0.3968773976358506,75.0
SOLUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.0140704828299029,0.0001979784870665,0.0113845440327053,0.6745042260660943,0.8350086837201441,0.0038261734197617713,0.8824244790400745,0.0,0.35284163359356635,80.0
ADAUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0158732950674496,0.0002519614962983,0.0117212812105858,0.369104586227903,4.934195403417654,0.0009961342470553218,0.752580037303235,0.0,0.41912156321331434,81.0
SANDUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.0578410062837476,0.0033455820079165,0.0534230999431231,-3.067565271484553,11.138076447871256,0.049352928184586045,0.7652467686330835,0.0,0.38279947241990053,139.0
SOLUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.067020135296589,0.004491698535173,0.0604484051635298,-13.299910696831658,5.092207548814222,0.007713953126066635,0.9305385783219288,0.0,0.4162765435660967,177.0
SANDUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.0679253345976361,0.0046138510802008,0.0618024000603151,-3.340389132450553,127.87435709855303,0.024956304220481552,0.7430310593574023,0.0,0.41269180726462623,191.0
