coin1,coin2,in_sample_correlation,in_sample_correlation_pvalue,in_sample_residuals_adf_p_value,in_sample_alpha,in_sample_beta,in_sample_half_file,in_sample_hurst,in_sample_coin1_lookback,in_sample_coin2_lookback,out_of_sample_correlation,out_of_sample_correlation_p_value,out_of_sample_spread_adf_p_value,out_of_sample_mean,out_of_sample_std,out_of_sample_half_file,out_of_sample_hurst
BTCUSDT,XRPUSDT,0.9491465152822606,0.0,0.02197634241320835,11.422845312571912,1.5823232047037958,989.0,0.476728389346708,2423,2458,0.9330336910003171,0.0,0.07210611762972209,0.02718749058735935,0.015512301951965901,357.0,0.36185398803032526
BTCUSDT,DOTUSDT,0.9784826027392748,0.0,0.02337066815757556,8.439708784066507,0.8459862606705828,1348.0,0.4716662504839903,2423,2337,0.9839089905761306,0.0,0.2590396882244088,0.034732551083151875,0.011553585587761124,540.0,0.42394617382644373
BTCUSDT,LUNCUSDT,0.8893588773942277,0.0,0.03682206922651433,21.455778122388793,1.336175838643915,1411.0,0.46286378658469113,2423,2152,0.9055024556501541,0.0,0.016188404380730236,0.09500506106623349,0.02459363845089294,302.0,0.48928580007614236
BTCUSDT,JASMYUSDT,0.9548729007072101,0.0,0.0037318744525771694,13.076835175860673,0.5928220252664014,1202.0,0.4742546107601558,2423,2161,0.9697326173188566,0.0,0.2190857776412522,0.0693560614833161,0.012998312628817356,611.0,0.4618396128787462
ETHUSDT,XRPUSDT,0.9546592830555174,0.0,0.009304027459763716,8.852473394037265,1.6084013688234098,850.0,0.46778812903848777,2443,2458,0.972692814557889,0.0,0.00356424458240315,0.0008836500784767153,0.012350179494577139,196.0,0.365960943220126
ETHUSDT,DOGEUSDT,0.9778972974925081,0.0,0.0020805062223751185,10.46891479537733,1.2699116498915082,755.0,0.45273731221763586,2443,2461,0.9313311800134036,0.0,0.48050393658373947,0.049198809763602754,0.019167812704324817,832.0,0.5260679526834756
ETHUSDT,SHIBUSDT,0.9610083975165515,0.0,0.03822458386921042,16.79413769515793,0.826019541836243,1309.0,0.49663763914403797,2443,2262,0.9764509916078066,0.0,0.0003581223340643071,-0.04287997009086445,0.0073529397837724065,127.0,0.4029145192212845
ETHUSDT,MATICUSDT,0.9937062353207244,0.0,5.3592621412293114e-05,7.351892894067518,0.9702395332335314,650.0,0.4521733562168198,2443,2409,0.9785661600724795,0.0,0.005857649635363651,0.04336024413262159,0.006661693489887221,222.0,0.3998007476101345
ETHUSDT,NEARUSDT,0.9734210033635188,0.0,0.044391780874662785,6.938852784167881,0.5139294662322937,1586.0,0.4730175810176196,2443,2291,0.946188556624835,0.0,0.2631513166097166,0.021548932465510907,0.012732268549531292,586.0,0.47266470796666193
ETHUSDT,SANDUSDT,0.9836119171271861,0.0,0.006373536283968243,7.5084035600170935,0.4498395208268118,1178.0,0.4866595466881161,2443,2348,0.9344914955316089,0.0,0.2185965536268994,-0.003698911102584329,0.011483240006233566,526.0,0.46959233700409103
ETHUSDT,FILUSDT,0.9837306252977895,0.0,0.0033847027755604304,6.359800000693635,0.6492732749892043,839.0,0.46652207210297725,2443,2334,0.8465423828591778,0.0,0.949469888515321,0.005472139681209666,0.03054157085298403,-13279.0,0.48817323308587923
ETHUSDT,LINKUSDT,0.980936037861291,0.0,0.011753448042214173,4.809230421138961,1.3260514313282972,979.0,0.466347557771198,2443,2438,0.9778417995263549,0.0,0.4523078984399196,0.038161636383653434,0.020784859865948944,838.0,0.39903467550831795
ETHUSDT,DOTUSDT,0.9896919244414759,0.0,0.00021117070873857033,5.812363968145098,0.8647574709281942,627.0,0.4573378086342037,2443,2337,0.9697805714689558,0.0,0.04704394295630785,0.007676427285796813,0.00855214678535471,265.0,0.38415939321409565
ETHUSDT,LUNCUSDT,0.918298703304087,0.0,0.003542517192969131,19.365438180475635,1.3942948896602756,929.0,0.4587275011987534,2443,2152,0.9082410963468535,0.0,0.09865467053947435,0.0672978878799706,0.031730103554663276,460.0,0.48663809622696363
ETHUSDT,JASMYUSDT,0.9626343697274333,0.0,0.0019576787387416304,10.541387879682308,0.6039823126668802,1071.0,0.4730509316528496,2443,2161,0.9360102901621308,0.0,0.25811742093110557,0.043468250315720464,0.012268614885194295,566.0,0.40416185862776033
SOLUSDT,DOGEUSDT,0.9546481406247267,0.0,0.022422492924616618,11.574814545302296,3.434133482650265,1090.0,0.4725569924606837,2189,2461,0.9262477302651786,0.0,0.3733679260896635,0.07067071782353308,0.05557551877398915,729.0,0.5366638450753298
SOLUSDT,MATICUSDT,0.9753744650938977,0.0,0.019854305017290935,3.1477527917884793,2.6380675548343895,1188.0,0.46973025607120944,2189,2409,0.9518465842911576,0.0,0.06989257207519795,0.05309182922506297,0.026943998184035728,403.0,0.46064561622856603
SOLUSDT,NEARUSDT,0.975975669995987,0.0,0.014822483418978261,2.008833239511618,1.4273660960290415,1142.0,0.47282985707021585,2189,2291,0.9635778752970694,0.0,0.2675368268596432,-0.014567352018004659,0.034042116431108486,462.0,0.47357096786928404
SOLUSDT,SANDUSDT,0.9757009202011494,0.0,0.013405670208526283,3.581883263101142,1.2360730000071218,1249.0,0.4909296962683489,2189,2348,0.9723029257291789,0.0,0.016744220377897943,-0.07971436491202331,0.02009326491507704,264.0,0.4766761664824052
SOLUSDT,FILUSDT,0.9741840887951254,0.0,0.019486878237956348,0.4296569090086306,1.7810903334778085,996.0,0.4738754300658597,2189,2334,0.8773801229247475,0.0,0.9247226790920356,-0.053781290220826714,0.08226275398513605,-10335.0,0.5153583012013204
SOLUSDT,LINKUSDT,0.9614541708219825,0.0,0.035239044999967675,-3.7563133258459986,3.600326158167922,1260.0,0.4855509840310556,2189,2438,0.9704199937452128,0.0,0.3279760560820788,0.039451939331383315,0.06254959522303565,744.0,0.4351770489244845
SOLUSDT,DOTUSDT,0.9754892805366405,0.0,0.009214169770382795,-1.0540757374680765,2.3610782306888223,1024.0,0.4569005022427136,2189,2337,0.9766170254425648,0.0,0.006299493629163232,-0.04571387402622524,0.022850208687471108,203.0,0.4483644586749091
SOLUSDT,LUNCUSDT,0.9192630733073652,0.0,0.00244945760853001,36.46890468829289,3.8663757561533054,850.0,0.4614111318778238,2189,2152,0.8755568654968438,0.0,0.08445180396288748,0.11291851419386695,0.09739385236432156,489.0,0.4913601724282356
SOLUSDT,JASMYUSDT,0.9661039783984857,0.0,0.002028387927125666,12.023403247064056,1.6791144811516536,983.0,0.46899259687260875,2189,2161,0.9751727059224001,0.0,0.1326511114887522,0.04598144915183517,0.024962940174769178,380.0,0.4552372861051278
XRPUSDT,DOGEUSDT,0.9655621269871695,0.0,0.00216156749349062,0.888756428485038,0.7442424713760256,572.0,0.4540671921178845,2458,2461,0.8831891659911055,0.0,0.41395237717821387,0.034159051191850615,0.012582881931753444,731.0,0.47381424601247607
XRPUSDT,APTUSDT,0.9473705232909663,0.0,0.003875678368896103,-1.2967573768932807,0.16973199596203525,732.0,0.49566914150159536,2458,2431,0.8632929718019662,0.0,0.8006806874721335,-0.016575092080518692,0.022224245082820362,2585.0,0.40412297985196594
XRPUSDT,LTCUSDT,0.9307644816683744,0.0,0.00946673400848795,-4.332329232290543,0.7554398473360199,887.0,0.4675727679819527,2458,2313,0.9631657445717011,0.0,0.00037180446962239186,0.04208936147877889,0.0068819241652592865,143.0,0.41290319032412526
XRPUSDT,MATICUSDT,0.9607276522774789,0.0,0.005334074453795588,-0.9397245706408319,0.556769207558051,718.0,0.46197789426993724,2458,2409,0.9416511070193653,0.0,0.01904036209296871,0.032218712854155215,0.010219250953600113,305.0,0.39696655366438033
XRPUSDT,SANDUSDT,0.9216145313256352,0.0,0.0332344063276335,-0.8551843056277774,0.25017108131494253,1230.0,0.48931200322916335,2458,2348,0.8934513918059734,0.0,0.04680733571209669,0.008196362505577846,0.012703106113686772,404.0,0.4131406398833218
XRPUSDT,LINKUSDT,0.9582978340545708,0.0,0.010924911808643098,-2.413233930524852,0.7689075956404577,763.0,0.46079314041518943,2458,2438,0.9386087786489834,0.0,0.2932454105727168,0.02847638930866751,0.010455256887416976,553.0,0.39607380097939576
XRPUSDT,DOTUSDT,0.9474895874584608,0.0,0.01073190094127546,-1.8153318288455293,0.49138591978538804,838.0,0.4656504358548162,2458,2337,0.9325383408031198,0.0,0.05379666054281635,0.012622670956602865,0.010115978537177002,341.0,0.39873151604797963
XRPUSDT,TRXUSDT,0.9228993193968842,0.0,0.027425794238814503,1.3278334548770836,0.8174785784257178,1076.0,0.47095300734027284,2458,2366,0.960965047771033,0.0,0.04596493464810095,0.03736737114304348,0.011295373129786672,327.0,0.3609318999673293
XRPUSDT,LUNCUSDT,0.9206609348592779,0.0,0.0007461282107176816,6.212199510213633,0.8297062206601129,628.0,0.45516440586068513,2458,2152,0.911157172690485,0.0,0.047501638078600514,0.04388843701856746,0.01535634188198849,329.0,0.4877133136878462
XRPUSDT,ATOMUSDT,0.9441096621267342,0.0,0.015340668591925987,-2.3256907042043453,0.542882026588223,843.0,0.4826988919111295,2458,2449,0.950570206379786,0.0,0.03845769407775052,0.029456430416420255,0.008476730506627577,288.0,0.4242382253151328
XRPUSDT,EURUSDT,0.813543071647508,0.0,0.03315043758200976,-1.3794591890329522,5.151382770944828,1438.0,0.4838673086904422,2458,2404,0.8537453796748826,0.0,0.1275314286785918,0.04688051419432973,0.01804723661726049,504.0,0.40392778095229365
XRPUSDT,JASMYUSDT,0.9213406295904047,0.0,0.0039680780159763104,0.8713640509554885,0.3431128998269122,903.0,0.4859725653370417,2458,2161,0.8777241919466181,0.0,0.07142011802792064,0.032979180351908464,0.012509802783926152,403.0,0.40288843048497874
GALAUSDT,LTCUSDT,0.9445748221680703,0.0,0.024170546542655394,-29.020514387857137,5.826834675511987,1135.0,0.47944893983440795,2449,2313,0.9433541249332587,0.0,0.4917242655816536,-0.03474979821470717,0.14633166220712412,1314.0,0.4830079236711214
GALAUSDT,ADAUSDT,0.9798951130472292,0.0,0.00883704122565819,0.5400648739073164,3.3524171519776305,1058.0,0.5174442895571524,2449,2448,0.8985863623952396,0.0,0.6817532529939014,-0.11585841836158622,0.13844305408410698,2155.0,0.42477098261910273
GALAUSDT,LDOUSDT,0.9622297376034242,0.0,0.008828481928786441,-4.3622070342078825,1.72045813509858,791.0,0.4602983006388782,2449,2312,0.9164245764102991,0.0,0.5499602207169856,-0.005968820324897499,0.09790950190972747,1249.0,0.536224618354829
GALAUSDT,APEUSDT,0.9619238539870121,0.0,0.02455890382064466,-9.249823739761956,3.852075482619443,1023.0,0.4614076204007844,2449,2362,0.8238283740434438,0.0,0.5764596740381258,-0.10450620351140785,0.26289171278848533,1949.0,0.53257294422932
GALAUSDT,LUNCUSDT,0.8776243837403459,0.0,0.015993228044850535,48.92580147470383,6.011315961761569,1212.0,0.45692589432361375,2449,2152,0.8597809130861986,0.0,0.22613279228739597,0.006248673510111827,0.2140202135010893,784.0,0.49284732510670637
DOGEUSDT,APTUSDT,0.9659405830827313,0.0,0.0033088368834978425,-2.9308088180206098,0.22452258618817733,782.0,0.4955053067775364,2461,2431,0.9284469138065943,0.0,0.42861162399655334,-0.06570098813203375,0.024081747129487477,913.0,0.5429024677961531
DOGEUSDT,BNBUSDT,0.9677111850464921,0.0,0.021199574316210675,-7.909392198444445,0.9522271768183819,919.0,0.43848856800236347,2461,2447,0.9442464624304121,0.0,0.46909112613279974,0.011610593256018941,0.0174008757455223,922.0,0.5221931902267275
DOGEUSDT,LTCUSDT,0.9553840350893239,0.0,0.004250852578686717,-6.975709770341554,1.0060135707294924,889.0,0.46360340854558313,2461,2313,0.9082786242131391,0.0,0.5003160324967746,0.011369837106931022,0.014850137052224637,791.0,0.5471219363912513
DOGEUSDT,MATICUSDT,0.9810080154856369,0.0,0.0018021207876390687,-2.4583650393071763,0.7375869867508462,660.0,0.4533806593808559,2461,2409,0.9242267542261493,0.0,0.6408211779843314,-0.0012923975662808322,0.015886701293940774,1294.0,0.5514639720943898
DOGEUSDT,NEARUSDT,0.9526055669994006,0.0,0.016406739094082867,-2.7705612792972136,0.3872894438450609,1125.0,0.46579955632219766,2461,2291,0.9389025926820482,0.0,0.08822874155530241,-0.016925194159836822,0.01316092153822059,425.0,0.564970988864617
DOGEUSDT,SANDUSDT,0.9603460780751217,0.0,0.023827163340687657,-2.3418767466811854,0.338206018465285,1193.0,0.4785590675030142,2461,2348,0.934780542698052,0.0,0.1531442200436835,-0.03565730828034048,0.01593098051971903,560.0,0.5612386443116061
DOGEUSDT,FILUSDT,0.9632129031231513,0.0,0.01852152665859035,-3.2072718148936765,0.4895458411054956,911.0,0.4516055097585422,2461,2334,0.9406580859512139,0.0,0.06182853962485893,-0.029104996589787744,0.013538442970461105,344.0,0.45621474938270123
DOGEUSDT,LINKUSDT,0.9894506592282457,0.0,1.0380310193069995e-05,-4.431008586779042,1.0299913071214162,346.0,0.4371601501154281,2461,2438,0.970357005957799,0.0,0.02090214100998034,-0.007334976053263499,0.010032723817971633,274.0,0.4760622866950904
DOGEUSDT,DOTUSDT,0.9756428829654926,0.0,0.003189061116074835,-3.6272066808412404,0.6564549319992863,673.0,0.4365970846316144,2461,2337,0.9493888861372414,0.0,0.42636238534969184,-0.028248359000511473,0.013416562926323428,688.0,0.5296894070716738
DOGEUSDT,LUNCUSDT,0.9511609746186432,0.0,1.0295524755633602e-05,7.12902074137542,1.1121014995245866,447.0,0.4406226375200788,2461,2152,0.8522744884147926,0.0,0.08189364057556187,0.013263651248945714,0.024458422709751897,423.0,0.5239470367294293
DOGEUSDT,ATOMUSDT,0.9689829948450781,0.0,0.002085259660777848,-4.303306401909824,0.7228779029733776,744.0,0.4633085469291896,2461,2449,0.934599203388786,0.0,0.05089165433509954,-0.005443474575876405,0.013009579326151226,339.0,0.5254256922154271
