coin1,coin2,in_sample_correlation,in_sample_correlation_pvalue,in_sample_residuals_adf_p_value,in_sample_alpha,in_sample_beta,in_sample_half_file,in_sample_hurst,in_sample_coin1_lookback,in_sample_coin2_lookback,out_of_sample_correlation,out_of_sample_correlation_p_value,out_of_sample_spread_adf_p_value,out_of_sample_mean,out_of_sample_std,out_of_sample_half_file,out_of_sample_hurst,in_sample_start_date,in_sample_end_date,out_of_sample_end_date
BTCUSDT,LUNCUSDT,0.8893588773942277,0.0,0.0368220692265143,21.455778122388793,1.336175838643915,1411.0,0.4628637865846911,2423,2152,0.905502455650154,0.0,0.0161884043807302,0.0950050610662334,0.0245936384508929,302.0,0.4892858000761423,2023-01-01,2023-01-19,2023-01-23
ETHUSDT,XRPUSDT,0.9546592830555174,0.0,0.0093040274597637,8.852473394037265,1.6084013688234098,850.0,0.4677881290384877,2443,2458,0.972692814557889,0.0,0.0035642445824031,0.0008836500784767,0.0123501794945771,196.0,0.365960943220126,2023-01-01,2023-01-19,2023-01-23
ETHUSDT,SHIBUSDT,0.9610083975165516,0.0,0.0382245838692104,16.79413769515793,0.826019541836243,1309.0,0.4966376391440379,2443,2262,0.9764509916078066,0.0,0.0003581223340643,-0.0428799700908644,0.0073529397837724,127.0,0.4029145192212845,2023-01-01,2023-01-19,2023-01-23
ETHUSDT,MATICUSDT,0.9937062353207244,0.0,5.359262141229312e-05,7.351892894067518,0.9702395332335314,650.0,0.4521733562168198,2443,2409,0.9785661600724797,0.0,0.0058576496353636,0.0433602441326215,0.0066616934898872,222.0,0.3998007476101345,2023-01-01,2023-01-19,2023-01-23
ETHUSDT,DOTUSDT,0.989691924441476,0.0,0.0002111707087385,5.812363968145098,0.8647574709281942,627.0,0.4573378086342037,2443,2337,0.9697805714689558,0.0,0.0470439429563078,0.0076764272857968,0.0085521467853547,265.0,0.3841593932140956,2023-01-01,2023-01-19,2023-01-23
SOLUSDT,SANDUSDT,0.9757009202011494,0.0,0.0134056702085262,3.581883263101142,1.2360730000071218,1249.0,0.4909296962683489,2189,2348,0.9723029257291788,0.0,0.0167442203778979,-0.0797143649120233,0.020093264915077,264.0,0.4766761664824052,2023-01-01,2023-01-19,2023-01-23
SOLUSDT,DOTUSDT,0.9754892805366404,0.0,0.0092141697703827,-1.0540757374680765,2.3610782306888223,1024.0,0.4569005022427136,2189,2337,0.9766170254425648,0.0,0.0062994936291632,-0.0457138740262252,0.0228502086874711,203.0,0.4483644586749091,2023-01-01,2023-01-19,2023-01-23
XRPUSDT,LTCUSDT,0.9307644816683744,0.0,0.0094667340084879,-4.332329232290543,0.7554398473360199,887.0,0.4675727679819527,2458,2313,0.9631657445717012,0.0,0.0003718044696223,0.0420893614787788,0.0068819241652592,143.0,0.4129031903241252,2023-01-01,2023-01-19,2023-01-23
XRPUSDT,MATICUSDT,0.9607276522774788,0.0,0.0053340744537955,-0.9397245706408319,0.556769207558051,718.0,0.4619778942699372,2458,2409,0.9416511070193652,0.0,0.0190403620929687,0.0322187128541552,0.0102192509536001,305.0,0.3969665536643803,2023-01-01,2023-01-19,2023-01-23
XRPUSDT,SANDUSDT,0.9216145313256352,0.0,0.0332344063276335,-0.8551843056277774,0.25017108131494253,1230.0,0.4893120032291633,2458,2348,0.8934513918059734,0.0,0.0468073357120966,0.0081963625055778,0.0127031061136867,404.0,0.4131406398833218,2023-01-01,2023-01-19,2023-01-23
XRPUSDT,TRXUSDT,0.9228993193968842,0.0,0.0274257942388145,1.3278334548770836,0.8174785784257178,1076.0,0.4709530073402728,2458,2366,0.960965047771033,0.0,0.0459649346481009,0.0373673711430434,0.0112953731297866,327.0,0.3609318999673293,2023-01-01,2023-01-19,2023-01-23
XRPUSDT,LUNCUSDT,0.920660934859278,0.0,0.0007461282107176,6.212199510213633,0.8297062206601129,628.0,0.4551644058606851,2458,2152,0.911157172690485,0.0,0.0475016380786005,0.0438884370185674,0.0153563418819884,329.0,0.4877133136878462,2023-01-01,2023-01-19,2023-01-23
XRPUSDT,ATOMUSDT,0.9441096621267342,0.0,0.0153406685919259,-2.3256907042043453,0.542882026588223,843.0,0.4826988919111295,2458,2449,0.950570206379786,0.0,0.0384576940777505,0.0294564304164202,0.0084767305066275,288.0,0.4242382253151328,2023-01-01,2023-01-19,2023-01-23
DOGEUSDT,LINKUSDT,0.9894506592282456,0.0,1.0380310193069997e-05,-4.431008586779042,1.0299913071214162,346.0,0.4371601501154281,2461,2438,0.970357005957799,0.0,0.0209021410099803,-0.0073349760532634,0.0100327238179716,274.0,0.4760622866950904,2023-01-01,2023-01-19,2023-01-23
SHIBUSDT,SANDUSDT,0.9554354460278228,0.0,0.0251136993129865,-11.265515993243671,0.5083607784308919,1281.0,0.4995580611297774,2262,2348,0.923862447779785,0.0,0.0183994612618947,0.0609929206599937,0.0136912512166027,306.0,0.4762651493026035,2023-01-01,2023-01-19,2023-01-23
LTCUSDT,LUNCUSDT,0.9439345678627692,0.0,6.111175608089523e-06,13.520516193156425,1.0481089616285066,459.0,0.4557495187037629,2313,2152,0.8985847541336565,0.0,0.0350023662175039,0.0058874099957881,0.0204074656871902,344.0,0.4601783740230591,2023-01-01,2023-01-19,2023-01-23
LTCUSDT,ATOMUSDT,0.986004306331766,0.0,6.475156191512266e-06,2.704503709708865,0.6985568346674871,308.0,0.4450079208868833,2313,2449,0.9721467878005264,0.0,0.0369347359568701,-0.014046374365013,0.0085163529341044,247.0,0.4336445787309527,2023-01-01,2023-01-19,2023-01-23
