coin,lookback,model,training_time,rmse,mse,mae,r2,mape
ADAUSDT,2448,transformer,429.25480818748474,0.007493495125068004,5.6152469189417936e-05,0.0051937534534174205,37.332956895398496,1.3738723406905318
ADAUSDT,2448,lstm,632.6347420215607,0.010300175424037687,0.00010609361376594994,0.008962652255274784,-18.40216910695103,2.39341781784699
ADAUSDT,2448,transformer,371.8470666408539,0.006857706792307927,4.702814244926627e-05,0.00488714594570222,47.515849747300166,1.2946108944328487
ADAUSDT,2448,lstm,2042.5505287647247,0.011160746996716858,0.00012456227352472435,0.010630703866317584,-39.013488660654126,2.854574324771303
ATOMUSDT,2449,transformer,2248.8314924240112,0.04575650011407873,0.002093657302689687,0.03510875764917551,94.81650735242762,0.26546656685766745
ATOMUSDT,2449,lstm,1179.9410028457642,0.27241590671768207,0.07421042623281685,0.2609623855094086,-83.73076400956887,1.9730599204525294
BTCUSDT,2423,transformer,366.6830141544342,1361.8016703036674,1854503.7892418583,1303.2880809199246,-908.778616499575,5.706865664013396
BTCUSDT,2423,lstm,1636.7994544506073,1766.5128652346361,3120567.703039484,1726.2875483383207,-1597.4688618069215,7.571858384878201
DOGEUSDT,2461,transformer,742.358288526535,0.0005586128137592404,3.120482756960159e-07,0.0005137227133335656,89.83818423700085,0.5920105201215706
DOGEUSDT,2461,lstm,948.6503350734711,0.001088825794157668,1.1855416100230766e-06,0.0009793475158954765,61.39297714546543,1.123216633041368
DOTUSDT,2337,transformer,917.8116328716278,0.04191206343291751,0.0017566210612049008,0.03861168385145844,88.12958191282677,0.62167671571432
DOTUSDT,2337,lstm,1435.342892408371,0.10995709846712363,0.012090563503308721,0.10317690411224406,18.29767318760258,1.6455082759273998
ETHUSDT,2443,transformer,398.31769609451294,43.01191554767463,1850.0248790802946,38.899232099457656,-463.6734559842252,2.3622271001492763
ETHUSDT,2443,lstm,863.9059171676636,83.0755605409456,6901.548759192318,81.67835793727907,-2002.793406221016,4.975385921471676
JASMYUSDT,2161,transformer,703.8027579784393,1.7973585726557306e-05,3.2304978386990446e-10,1.3632540746293811e-05,99.11051248653135,0.2663563235866748
JASMYUSDT,2161,lstm,1197.6855731010437,0.00013505783096489423,1.824061770494194e-08,0.0001298649830256696,49.776150268382146,2.521167770404121
LINKUSDT,2438,transformer,1082.315280199051,0.030970828083387716,0.0009591921921707573,0.025499660122399813,92.44659069698538,0.36489216485263815
LINKUSDT,2438,lstm,1176.546312570572,0.10574684310133312,0.011182394825897963,0.10214451621303165,11.94131778706815,1.4664216413644773
LTCUSDT,2313,transformer,570.936229467392,0.42535333155218985,0.18092545666254717,0.3542182281099382,88.63039801862982,0.3971825586898967
LTCUSDT,2313,lstm,825.348424911499,0.7103052795158878,0.5045335901081436,0.652034805932042,68.29442482543459,0.7300972647348476
LUNCUSDT,2152,transformer,892.9332273006439,4.952009994458883e-07,2.452240298522067e-13,4.2281812825711543e-07,98.36548390899786,0.23382367568399132
LUNCUSDT,2152,lstm,845.484974861145,1.5332045026164983e-06,2.3507160468435043e-12,1.454445047482896e-06,84.33154075565045,0.803174341349392
MATICUSDT,2409,transformer,1239.5714411735535,0.002288282397568826,5.236236331023334e-06,0.0018503720670405878,97.83231478590466,0.18427226801204272
MATICUSDT,2409,lstm,1783.2274491786957,0.016543628487966245,0.00027369164354784826,0.015660896785206473,-13.302272400739845,1.5497402998540566
NEARUSDT,2291,transformer,964.1124556064606,0.045788956325251755,0.002096628521355813,0.030325649645269234,75.08581195139072,1.2487204516888313
NEARUSDT,2291,lstm,1115.4409799575806,0.13653712944713975,0.018642387717664997,0.12691325293908814,-121.52704649453887,5.290063581137792
SANDUSDT,2348,transformer,602.1865041255951,0.05201405067452293,0.002705461467571839,0.047272058203130775,-214.07169793388562,5.887485918928696
SANDUSDT,2348,lstm,1138.3850498199463,0.09535913147297392,0.009093363955279926,0.09277341297774154,-955.6305229061088,11.643039646081425
SHIBUSDT,2262,transformer,1226.1144239902496,5.4562313543104224e-08,2.9770460591760147e-15,4.3336459127918826e-08,93.35677832927661,0.3613209034506308
SHIBUSDT,2262,lstm,2932.920434474945,9.515986415948187e-07,9.055399746851042e-13,9.366834302547197e-07,-1920.694900262068,7.746465680296584
SOLUSDT,2189,transformer,572.6611387729645,0.5159948468726786,0.2662506819991591,0.43180940991247235,79.3201530198928,1.729559171957073
SOLUSDT,2189,lstm,997.7354152202606,1.325182306314432,1.756108144968837,1.257084471511694,-36.39796093607648,5.030923700019392
TRXUSDT,2366,transformer,1018.3848962783813,0.00026898005312168955,7.235026897734692e-08,0.0002630173242009499,71.11561259985454,0.4241390646250426
TRXUSDT,2366,lstm,916.4726755619049,0.0005657114434975662,3.200294373041001e-07,0.0005593337370850169,-27.765266930587252,0.9010988373928124
XRPUSDT,2458,transformer,338.05971789360046,0.003913311906296496,1.5314010075961918e-05,0.0032491473582674283,11.375994382464306,0.7934640666208952
XRPUSDT,2458,lstm,1892.4689865112305,0.005610137044830044,3.147363766177437e-05,0.005349712377878582,-82.1416781811431,1.3106178914382003
