coin1,coin2,in_sample_start_date,in_sample_end_date,out_of_sample_end_date,adf_p_value,correlation,correlation_p_value,hurst,half_life
ADAUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.003695623416843855,0.7841728364499347,0.0,0.44599667521794645,96.0
BTCUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0022564817005265568,0.810797540499133,0.0,0.4407051433653103,102.0
DOGEUSDT,LINKUSDT,2023-01-01,2023-01-19,2023-01-23,0.07204787388716681,0.8508603534228921,0.0,0.4897627728843735,223.0
DOTUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,4.9368844068124896e-05,0.9528744389322021,0.0,0.35085502344476394,64.0
ETHUSDT,XRPUSDT,2023-01-01,2023-01-19,2023-01-23,0.005127466876986694,0.9267621877713296,0.0,0.34613323921055156,95.0
ETHUSDT,SHIBUSDT,2023-01-01,2023-01-19,2023-01-23,0.0018906340250611235,0.846378011775779,0.0,0.37140870794619635,78.0
ETHUSDT,MATICUSDT,2023-01-01,2023-01-19,2023-01-23,0.05683227510524977,0.902162609401657,0.0,0.3916550012666191,188.0
ETHUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.12419706652426638,0.7108589957156582,0.0,0.3711054044861842,243.0
LINKUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.04330708862064765,0.7003657519596773,0.0,0.4482505657440538,155.0
LINKUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.007230131861465251,0.8615319503590984,0.0,0.42457168528056377,134.0
LTCUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.044074144087767074,0.7200840997652973,0.0,0.4186446627260658,172.0
LTCUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.09077906455311147,0.6804230034544809,0.0,0.41972873822252904,203.0
LUNCUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.03943416274726116,0.5586212052934936,4.212221301352096e-271,0.4495640089170223,173.0
NEARUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.06722908070301989,0.8432472762531624,0.0,0.5122891094859128,203.0
NEARUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0017002813194475297,0.8633484196291004,0.0,0.45727615972112545,93.0
NEARUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.021263321123691867,0.9046691972774696,0.0,0.4869024211610037,162.0
SANDUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.021058935213395115,0.8801484616871752,0.0,0.45673088828071995,155.0
SANDUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.0023509543436772773,0.9192372209712054,0.0,0.43794223146743544,115.0
SHIBUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.03659959229157824,0.7588473506853314,0.0,0.46514588335336915,213.0
SOLUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.11010762323528761,0.8598985136544343,0.0,0.46562624428713045,269.0
SOLUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.02569310914213024,0.875319805569356,0.0,0.4573613356857842,152.0
XRPUSDT,LTCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0004130236248844177,0.8876167939018205,0.0,0.4240943366442662,74.0
XRPUSDT,MATICUSDT,2023-01-01,2023-01-19,2023-01-23,0.004864651351974177,0.8713704976017462,0.0,0.38603832562841206,114.0
XRPUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.21324296361319273,0.4285218011106125,1.327044441882203e-147,0.4229753338633706,425.0
XRPUSDT,TRXUSDT,2023-01-01,2023-01-19,2023-01-23,0.002075289738321193,0.8397484633994259,0.0,0.357868088376781,100.0
XRPUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.13391668570128729,0.5073351309460586,1.5606764914043198e-215,0.40933592861548884,213.0
XRPUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.19580489728759137,0.6289492568628066,0.0,0.4082057344379318,261.0
