coin1,coin2,in_sample_start_date,in_sample_end_date,out_of_sample_end_date,adf_p_value,correlation,correlation_p_value,hurst,half_life
ADAUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.0009961342470553218,0.752580037303235,0.0,0.41912156321331434,81.0
BTCUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.006667752806606054,0.6689477844967117,0.0,0.4418785264277582,139.0
DOGEUSDT,LINKUSDT,2023-01-01,2023-01-19,2023-01-23,0.06149471707351607,0.81134185014576,0.0,0.4835002415155285,169.0
DOTUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.04611042612766781,0.9465713140991359,0.0,0.30857846822193746,46.0
ETHUSDT,XRPUSDT,2023-01-01,2023-01-19,2023-01-23,0.058707762032509214,0.23080825133585386,3.534828239352045e-41,0.37956781484639784,112.0
ETHUSDT,SHIBUSDT,2023-01-01,2023-01-19,2023-01-23,0.05585561711727557,0.2106078589129115,1.4338728637166614e-34,0.2885835939381935,37.0
ETHUSDT,MATICUSDT,2023-01-01,2023-01-19,2023-01-23,0.08460501988125879,-0.05042840557327935,0.003671391552235507,0.44568420542875276,252.0
ETHUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.0051766288809099266,0.4006083220674493,4.1086354477254837e-128,0.38509730938345393,127.0
LINKUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.022206576375041545,0.6876082499101308,0.0,0.42513874930891804,134.0
LINKUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.016438239080778943,0.8954290995423191,0.0,0.3877875756293735,88.0
LTCUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.01929844756080845,0.7202862312316594,0.0,0.38877388843918714,128.0
LTCUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.17560299997876022,0.7095287241997483,0.0,0.3937481689795579,159.0
LUNCUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.039801425074285496,0.5671480995496844,3.3194583081331883e-281,0.4242882538327863,140.0
NEARUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.15739728094920064,0.904226729104043,0.0,0.36533414800003877,53.0
NEARUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.002456193241824026,0.8342058666111074,0.0,0.4202705726502847,75.0
NEARUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.1449792513158461,0.928703788272245,0.0,0.37698014817201925,47.0
SANDUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.049352928184586045,0.7652467686330835,0.0,0.38279947241990053,139.0
SANDUSDT,JASMYUSDT,2023-01-01,2023-01-19,2023-01-23,0.024956304220481552,0.7430310593574023,0.0,0.41269180726462623,191.0
SHIBUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.1258977687311752,0.7177861388137872,0.0,0.2698888002906804,30.0
SOLUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.007713953126066635,0.9305385783219288,0.0,0.4162765435660967,177.0
SOLUSDT,DOTUSDT,2023-01-01,2023-01-19,2023-01-23,0.0038261734197617713,0.8824244790400745,0.0,0.35284163359356635,80.0
XRPUSDT,LTCUSDT,2023-01-01,2023-01-19,2023-01-23,0.001955145656161411,0.8513451481520742,0.0,0.3968773976358506,75.0
XRPUSDT,MATICUSDT,2023-01-01,2023-01-19,2023-01-23,0.39107571257812046,0.7975861968181356,0.0,0.3662637790529788,126.0
XRPUSDT,SANDUSDT,2023-01-01,2023-01-19,2023-01-23,0.13269669590695587,0.6380746777046401,0.0,0.38169215069553253,92.0
XRPUSDT,TRXUSDT,2023-01-01,2023-01-19,2023-01-23,0.03536386793756667,0.7337754564056606,0.0,0.30680807456923326,63.0
XRPUSDT,LUNCUSDT,2023-01-01,2023-01-19,2023-01-23,0.009480333098110255,0.5762407565654624,1.605641783978276e-291,0.42044739704565115,129.0
XRPUSDT,ATOMUSDT,2023-01-01,2023-01-19,2023-01-23,0.5217752502313678,0.6214942006046322,0.0,0.38269672322990345,128.0
